Date,Open,High,Low,Close
2015-07-20,277.98,280.0,277.37,280.0
2015-07-21,279.96,281.27,276.85,277.32
2015-07-22,277.33,278.54,275.01,277.89
2015-07-23,277.96,279.75,276.28,277.39
2015-07-24,277.23,291.52,276.43,289.12
2015-07-25,289.12,291.67,286.82,289.7
2015-07-26,289.68,294.49,288.65,293.89
2015-07-27,293.88,297.0,287.24,294.21
2015-07-28,294.22,298.0,293.65,295.76
2015-07-29,295.74,296.58,289.01,290.19
2015-07-30,290.26,291.56,286.56,288.49
2015-07-31,288.49,290.0,282.79,285.19
2015-08-01,285.2,285.6,277.26,281.53
2015-08-02,281.53,282.62,277.33,282.62
2015-08-03,282.62,285.86,280.27,280.95
2015-08-04,280.95,286.47,280.11,285.51
2015-08-05,285.6,286.25,282.01,282.77
2015-08-06,282.44,282.61,278.95,279.65
2015-08-07,279.37,281.17,277.05,279.94
2015-08-08,280.06,280.16,260.07,262.02
2015-08-09,262.02,268.8,260.97,267.63
2015-08-10,267.6,268.89,263.17,265.15
2015-08-11,265.15,271.99,264.91,271.99
2015-08-12,271.99,272.4,265.79,266.94
2015-08-13,266.81,267.82,262.94,264.67
2015-08-14,264.48,267.98,262.5,266.17
2015-08-15,266.21,267.69,261.77,262.46
2015-08-16,262.45,263.1,255.67,259.2
2015-08-17,259.2,261.57,255.58,257.31
2015-08-18,257.56,258.04,200.0,221.99
2015-08-19,221.99,238.99,214.91,227.34
2015-08-20,227.46,238.2,227.45,235.56
2015-08-21,235.56,236.99,231.15,232.85
2015-08-22,232.85,235.53,222.68,231.15
2015-08-23,231.16,233.25,226.15,229.21
2015-08-24,229.23,229.24,210.0,211.16
2015-08-25,211.16,229.49,198.02,223.73
2015-08-26,223.73,231.97,220.16,226.81
2015-08-27,226.72,229.99,224.0,225.8
2015-08-28,225.62,236.18,221.2,231.55
2015-08-29,231.55,233.95,228.0,230.61
2015-08-30,230.61,233.47,226.59,229.39
2015-08-31,229.4,233.0,225.23,230.75
2015-09-01,230.76,233.5,226.42,228.22
2015-09-02,228.22,231.43,226.43,229.97
2015-09-03,229.95,230.79,226.48,227.25
2015-09-04,227.24,232.49,227.24,231.39
2015-09-05,231.43,237.24,230.12,236.01
2015-09-06,236.17,244.82,235.54,241.29
2015-09-07,241.26,242.98,239.21,241.31
2015-09-08,241.31,247.82,240.31,244.14
2015-09-09,244.24,244.69,238.6,238.75
2015-09-10,238.74,241.4,236.69,238.52
2015-09-11,238.55,241.54,238.5,240.9
2015-09-12,240.9,241.12,235.26,236.5
2015-09-13,236.5,236.91,229.72,230.82
2015-09-14,230.83,233.99,228.01,231.01
2015-09-15,231.02,232.43,230.26,230.6
2015-09-16,230.67,232.0,226.85,229.73
2015-09-17,229.72,235.93,229.01,233.34
2015-09-18,233.31,234.96,231.75,233.78
2015-09-19,233.78,234.31,232.0,232.88
2015-09-20,232.88,234.0,231.84,232.24
2015-09-21,232.26,233.64,226.87,227.31
2015-09-22,227.31,232.5,224.45,231.28
2015-09-23,231.31,233.0,229.27,230.26
2015-09-24,230.26,235.99,230.09,235.27
2015-09-25,235.35,237.62,234.02,235.89
2015-09-26,235.88,236.2,233.5,234.69
2015-09-27,234.67,235.03,233.2,233.58
2015-09-28,233.53,240.52,233.53,239.99
2015-09-29,239.96,241.05,236.65,236.89
2015-09-30,236.88,238.75,236.26,237.14
2015-10-01,237.1,239.86,236.9,238.34
2015-10-02,238.34,239.4,236.97,238.28
2015-10-03,238.31,240.62,237.73,239.92
2015-10-04,239.93,240.28,239.07,239.87
2015-10-05,239.87,240.98,237.5,240.95
2015-10-06,240.93,248.0,240.31,246.64
2015-10-07,246.7,247.96,240.2,244.0
2015-10-08,244.0,245.38,242.2,242.94
2015-10-09,242.94,244.88,241.1,244.35
2015-10-10,244.44,246.1,243.8,246.07
2015-10-11,246.06,250.0,245.63,249.02
2015-10-12,249.01,249.14,245.89,246.39
2015-10-13,246.43,251.5,244.86,250.99
2015-10-14,250.98,255.0,250.25,253.27
2015-10-15,253.25,256.77,253.18,254.99
2015-10-16,254.98,267.6,254.86,263.43
2015-10-17,263.45,274.81,263.05,272.87
2015-10-18,272.88,273.5,262.94,265.0
2015-10-19,265.0,268.23,262.05,265.17
2015-10-20,265.09,272.95,264.38,271.14
2015-10-21,271.16,272.85,265.0,268.77
2015-10-22,268.77,280.0,268.75,275.84
2015-10-23,275.76,281.17,275.4,278.76
2015-10-24,278.76,284.49,278.75,284.29
2015-10-25,284.29,295.93,283.28,284.97
2015-10-26,284.97,287.68,282.04,287.1
2015-10-27,287.1,297.99,286.89,295.61
2015-10-28,295.68,308.93,295.65,304.09
2015-10-29,304.1,320.99,301.8,316.08
2015-10-30,316.07,336.97,315.9,329.11
2015-10-31,329.11,334.28,306.29,314.85
2015-11-01,314.84,332.0,311.44,329.46
2015-11-02,329.45,371.82,326.07,365.21
2015-11-03,365.14,422.3,362.07,404.1
2015-11-04,404.06,499.99,368.15,410.0
2015-11-05,410.0,450.0,366.66,387.21
2015-11-06,387.21,395.0,351.0,374.09
2015-11-07,374.26,392.0,371.43,384.81
2015-11-08,384.8,389.0,363.58,373.83
2015-11-09,373.84,386.96,360.8,379.53
2015-11-10,379.55,382.23,322.0,337.14
2015-11-11,337.14,341.75,293.32,313.2
2015-11-12,313.2,344.99,312.24,336.49
2015-11-13,336.49,343.0,325.0,338.07
2015-11-14,338.08,339.57,329.4,334.71
2015-11-15,334.67,336.46,319.89,322.93
2015-11-16,322.94,334.1,316.12,332.89
2015-11-17,332.85,340.72,330.1,336.49
2015-11-18,336.49,338.0,330.0,335.49
2015-11-19,335.5,336.38,324.9,326.41
2015-11-20,326.53,327.04,311.23,322.39
2015-11-21,322.39,328.0,316.33,327.0
2015-11-22,326.99,327.0,321.0,323.71
2015-11-23,323.72,326.0,322.0,323.0
2015-11-24,323.01,323.17,318.0,321.0
2015-11-25,320.96,330.06,316.26,328.98
2015-11-26,328.99,368.18,328.98,352.57
2015-11-27,352.56,364.46,347.96,358.19
2015-11-28,358.2,359.63,351.09,357.24
2015-11-29,357.24,373.63,354.26,372.24
2015-11-30,372.25,382.87,367.5,376.86
2015-12-01,376.88,378.94,354.6,362.68
2015-12-02,362.68,363.06,347.55,360.0
2015-12-03,360.0,369.99,356.52,361.77
2015-12-04,361.89,364.85,355.43,363.98
2015-12-05,363.98,390.0,363.97,387.99
2015-12-06,388.03,401.01,375.22,387.55
2015-12-07,387.53,397.57,383.0,394.73
2015-12-08,394.73,418.94,386.69,418.94
2015-12-09,417.84,425.0,401.0,418.39
2015-12-10,418.39,419.5,408.0,415.68
2015-12-11,415.68,453.13,415.67,452.95
2015-12-12,452.95,469.34,403.0,436.87
2015-12-13,436.9,443.83,419.42,433.83
2015-12-14,433.38,450.0,429.12,444.01
2015-12-15,444.03,464.95,443.76,464.27
2015-12-16,464.5,464.73,440.0,453.97
2015-12-17,453.96,456.33,446.01,455.5
2015-12-18,455.5,465.1,453.28,463.17
2015-12-19,463.14,465.6,451.58,461.29
2015-12-20,461.29,461.3,430.0,442.22
