Date,Open,High,Low,Close
2016-08-15,127.62,128.25,127.6,127.84
2016-08-16,128.12,129.04,128.0,128.47
2016-08-17,128.17,128.99,127.46,128.5
2016-08-18,128.89,129.17,128.58,129.11
2016-08-19,128.08,128.67,127.855,127.97
2016-08-22,127.63,127.92,127.45,127.78
2016-08-23,128.14,128.22,127.61,127.76
2016-08-24,126.92,126.9663,126.295,126.34
2016-08-25,125.98,126.31,125.96,126.23
2016-08-26,126.88,128.11,125.82,126.05
2016-08-29,126.0,126.48,125.93,126.3
2016-08-30,125.73,125.95,124.88,125.03
2016-08-31,124.73,125.11,124.64,124.78
2016-09-01,124.67,125.51,124.55,125.29
2016-09-02,126.29,126.57,125.58,126.57
2016-09-06,127.4,129.08,127.27,128.71
2016-09-07,128.79,128.86,128.12,128.27
2016-09-08,128.16,128.52,127.4,127.59
2016-09-09,127.24,127.51,126.7,126.75
2016-09-12,126.31,126.92,125.97,126.59
2016-09-13,126.47,126.6,125.53,125.75
2016-09-14,126.1,126.54,126.03,126.18
2016-09-15,125.73,126.1,124.91,125.37
2016-09-16,124.81,125.245,124.67,125.06
2016-09-19,125.61,125.62,125.25,125.32
2016-09-20,125.31,125.59,125.17,125.44
2016-09-21,126.33,127.42,125.96,127.27
2016-09-22,127.57,128.2,127.5,127.57
2016-09-23,127.6,127.86,127.43,127.65
2016-09-26,127.96,128.035,127.42,127.55
2016-09-27,126.86,126.9,126.341,126.62
2016-09-28,126.25,126.4,125.73,126.22
2016-09-29,125.84,126.34,125.54,126.07
2016-09-30,126.52,126.55,125.235,125.64
2016-10-03,125.32,125.46,124.9,125.32
2016-10-04,123.16,123.18,120.86,120.97
2016-10-05,121.33,121.59,120.4,120.78
2016-10-06,119.69,119.98,119.24,119.66
2016-10-07,120.49,120.58,118.42,119.74
2016-10-10,120.16,120.42,119.92,120.16
2016-10-11,119.92,120.16,119.53,119.55
2016-10-12,119.72,120.07,119.289,119.74
2016-10-13,120.0,120.42,119.8,120.03
2016-10-14,119.37,120.16,119.29,119.36
2016-10-17,119.7,119.92,119.58,119.68
2016-10-18,120.08,120.64,119.82,120.42
