Date,Open,High,Low,Close
2016-08-15,122.46,123.685,122.43,123.4
2016-08-16,123.08,123.12,122.26,122.4
2016-08-17,122.44,122.5,121.33,122.04
2016-08-18,122.08,122.97,122.04,122.94
2016-08-19,122.77,123.07,122.28,122.94
2016-08-22,122.68,123.34,122.33,123.22
2016-08-23,123.61,124.46,123.61,124.08
2016-08-24,123.94,124.25,122.77,123.07
2016-08-25,122.62,123.69,122.61,123.31
2016-08-26,123.45,124.41,122.3,123.06
2016-08-29,123.27,124.17,123.24,123.7
2016-08-30,123.83,124.17,123.38,123.93
2016-08-31,123.78,123.89,122.55,123.23
2016-09-01,123.34,123.63,122.02,123.32
2016-09-02,124.01,124.53,123.63,124.51
2016-09-06,124.92,124.97,123.97,124.6292
2016-09-07,124.55,125.44,124.48,125.41
2016-09-08,125.31,125.41,124.77,125.16
2016-09-09,124.18,124.21,121.21,121.25
2016-09-12,120.69,122.97,120.58,122.94
2016-09-13,122.06,122.16,119.8805,120.58
2016-09-14,120.77,121.47,120.29,120.6
2016-09-15,120.68,122.185,120.51,122.04
2016-09-16,121.47,121.97,121.095,121.86
2016-09-19,122.32,123.55,121.99,122.67
2016-09-20,123.2,123.23,122.15,122.15
2016-09-21,122.58,123.97,122.1,123.92
2016-09-22,124.73,125.8,124.66,125.7
2016-09-23,125.56,125.882,124.81,124.81
2016-09-26,123.8,124.17,123.1,123.23
2016-09-27,123.17,123.88,122.81,123.73
2016-09-28,123.95,124.76,123.07,124.68
2016-09-29,124.62,124.64,122.7,122.86
2016-09-30,123.42,124.78,122.86,124.21
2016-10-03,123.83,124.095,123.13,123.82
2016-10-04,124.02,124.31,122.65,123.21
2016-10-05,123.69,124.68,123.65,123.95
2016-10-06,123.75,124.015,122.82,123.82
2016-10-07,124.04,124.32,122.23,122.83
2016-10-10,123.57,124.74,123.56,124.3
2016-10-11,124.05,124.11,121.34,122.03
2016-10-12,122.09,122.61,121.5328,121.93
2016-10-13,120.99,121.41,120.11,120.92
2016-10-14,121.36,121.84,120.4,120.43
2016-10-17,120.58,120.85,120.16,120.29
2016-10-18,121.52,121.58,120.66,120.98
2016-10-19,121.17,121.95,120.5001,121.49
2016-10-20,121.14,122.0,120.41,121.13
2016-10-21,120.26,121.37,120.1,121.07
2016-10-24,122.04,122.61,121.4499,121.84
2016-10-25,121.81,121.9895,120.6,120.93
2016-10-26,120.11,121.0,119.46,119.73
2016-10-27,120.12,120.14,118.09,118.36
2016-10-28,118.31,119.03,117.75,118.03
2016-10-31,118.18,118.64,117.7999,118.5
2016-11-01,118.66,118.7,116.28,117.05
2016-11-02,116.87,117.0,115.39,115.56
2016-11-03,115.91,116.24,114.88,115.0
2016-11-04,115.3,116.9,115.0458,115.74
2016-11-07,118.0,118.82,117.7082,118.57
2016-11-08,118.3,119.46,117.71,118.88
2016-11-09,118.08,122.83,118.05,122.54
2016-11-10,124.26,125.4,122.5797,124.5
2016-11-11,125.03,127.72,124.55,127.36
2016-11-14,128.95,130.26,128.39,129.15
2016-11-15,128.85,129.89,128.3,129.55
2016-11-16,129.25,130.0,129.03,129.54
2016-11-17,129.95,130.83,129.75,130.3
2016-11-18,130.69,131.09,130.2979,130.99
2016-11-21,131.31,132.0,130.61,131.6
2016-11-22,132.12,132.9,131.67,132.8
2016-11-23,132.48,133.65,132.1,133.63
2016-11-25,133.73,134.1,133.54,134.07
