Date,Open,High,Low,Close
2016-08-15,1.5778,1.5874,1.5533,1.5745
2016-08-16,1.5723,1.5748,1.5602,1.565
2016-08-17,1.565,1.5685,1.5164,1.5288
2016-08-18,1.5265,1.555,1.5205,1.5525
2016-08-19,1.5518,1.5682,1.545,1.5565
2016-08-22,1.5613,1.5653,1.5428,1.563
2016-08-23,1.576,1.583,1.5682,1.5728
2016-08-24,1.5783,1.579,1.5413,1.5485
2016-08-25,1.549,1.5498,1.519,1.5383
2016-08-26,1.5423,1.5595,1.53,1.5508
2016-08-29,1.557,1.5633,1.5471,1.5498
2016-08-30,1.5478,1.5561,1.5365,1.5408
2016-08-31,1.5438,1.548,1.529,1.5335
2016-09-01,1.5348,1.5845,1.5335,1.5788
2016-09-02,1.582,1.5838,1.5455,1.5633
2016-09-06,1.5688,1.578,1.5607,1.578
2016-09-07,1.573,1.5807,1.5458,1.5548
2016-09-08,1.5533,1.5685,1.5355,1.566
2016-09-09,1.5488,1.5575,1.475,1.488
2016-09-12,1.4683,1.5216,1.4329,1.5188
2016-09-13,1.515,1.5325,1.4883,1.4968
2016-09-14,1.5003,1.515,1.4878,1.51
2016-09-15,1.5125,1.569,1.509,1.5673
2016-09-16,1.5728,1.5813,1.553,1.571
2016-09-19,1.5875,1.6315,1.5803,1.5918
2016-09-20,1.61,1.61,1.5685,1.5773
2016-09-21,1.582,1.6245,1.5818,1.6215
2016-09-22,1.631,1.636,1.6163,1.6255
2016-09-23,1.6275,1.6323,1.6165,1.6238
2016-09-26,1.6052,1.615,1.5883,1.6085
2016-09-27,1.6023,1.666,1.6015,1.6635
2016-09-28,1.666,1.6708,1.6483,1.6695
2016-09-29,1.6668,1.6903,1.6513,1.685
2016-09-30,1.6943,1.7298,1.6843,1.713
2016-10-03,1.713,1.7378,1.7083,1.7113
2016-10-04,1.7138,1.7425,1.6948,1.7075
2016-10-05,1.722,1.7395,1.7005,1.7058
2016-10-06,1.6852,1.6958,1.6565,1.6835
2016-10-07,1.6948,1.6993,1.6665,1.6712
2016-10-10,1.68,1.689,1.6618,1.6775
2016-10-11,1.672,1.6745,1.6405,1.6532
2016-10-12,1.6465,1.6695,1.6328,1.6608
2016-10-13,1.6413,1.645,1.5925,1.6338
2016-10-14,1.6538,1.665,1.64,1.6498
2016-10-17,1.6495,1.665,1.638,1.6403
2016-10-18,1.663,1.6748,1.6563,1.6653
2016-10-19,1.654,1.6695,1.6455,1.6618
2016-10-20,1.6813,1.6988,1.6575,1.6933
2016-10-21,1.6872,1.6915,1.6725,1.6885
2016-10-24,1.7,1.7698,1.6997,1.7677
2016-10-25,1.7648,1.8075,1.7563,1.7968
2016-10-26,1.7817,1.8238,1.78,1.804
2016-10-27,1.8178,1.8213,1.7596,1.767
2016-10-28,1.7755,1.8025,1.7608,1.764
2016-10-31,1.7698,1.7906,1.7688,1.779
2016-11-01,1.7855,1.7953,1.7073,1.7263
2016-11-02,1.7395,1.763,1.7159,1.719
2016-11-03,1.727,1.7285,1.666,1.699
2016-11-04,1.6878,1.7183,1.6644,1.6892
2016-11-07,1.7388,1.793,1.7375,1.7817
2016-11-08,1.7885,1.7942,1.7625,1.779
2016-11-09,1.7308,1.7725,1.718,1.749
2016-11-10,1.7873,1.7875,1.669,1.6943
2016-11-11,1.9878,2.2193,1.9625,2.1993
2016-11-14,2.2023,2.2048,2.0905,2.091
2016-11-15,2.1073,2.1863,2.0983,2.1547
2016-11-16,2.1835,2.3139,2.1586,2.2908
2016-11-17,2.3078,2.3698,2.2663,2.3098
2016-11-18,2.3098,2.3583,2.295,2.334
2016-11-21,2.3523,2.3588,2.31,2.3245
2016-11-22,2.3325,2.3435,2.3095,2.3413
2016-11-23,2.343,2.3812,2.3192,2.3493
2016-11-25,2.3605,2.3775,2.3352,2.354
2016-11-28,2.3468,2.3685,2.34,2.3527
2016-11-29,2.35,2.361,2.3133,2.3313
2016-11-30,2.34,2.354,2.3025,2.305
2016-12-01,2.3025,2.3043,2.1193,2.191
2016-12-02,2.1563,2.22,2.128,2.2113
2016-12-05,2.2498,2.3153,2.225,2.297
2016-12-06,2.3053,2.3433,2.2893,2.3348
2016-12-07,2.321,2.3825,2.3025,2.3767
2016-12-08,2.3798,2.4155,2.3263,2.337
2016-12-09,2.355,2.3567,2.2677,2.2955
2016-12-12,2.2462,2.2488,2.1885,2.2398
2016-12-13,2.2523,2.3073,2.2513,2.2793
2016-12-14,2.3135,2.4278,2.2893,2.4113
2016-12-15,2.4225,2.4985,2.415,2.4678
2016-12-16,2.4958,2.5175,2.4432,2.5103
2016-12-19,2.4925,2.5612,2.475,2.5408
2016-12-20,2.6145,2.6532,2.603,2.6293
2016-12-21,2.641,2.6488,2.5928,2.6458
2016-12-22,2.6705,2.7218,2.6633,2.6778
2016-12-23,2.6595,2.7459,2.6568,2.7445
2016-12-27,2.8015,2.934,2.7805,2.933
2016-12-28,2.99,2.9983,2.7172,2.7313
