Date,Open,High,Low,Close
2016-08-15,117.33,117.97,117.31,117.7
2016-08-16,117.47,117.49,117.03,117.05
2016-08-17,117.08,117.3,116.43,117.26
2016-08-18,117.15,117.46,116.945,117.29
2016-08-19,117.1,117.52,116.76,117.26
2016-08-22,117.09,117.55,116.87,117.35
2016-08-23,117.79,118.0095,117.51,117.56
2016-08-24,117.49,117.64,116.41,116.8
2016-08-25,116.48,116.97,116.36,116.61
2016-08-26,116.66,117.54,116.08,116.78
2016-08-29,116.81,117.251,116.79,116.94
2016-08-30,116.73,117.09,116.16,116.56
2016-08-31,116.38,116.56,115.95,116.44
2016-09-01,116.48,116.88,115.91,116.74
2016-09-02,117.32,117.56,116.68,117.12
2016-09-06,117.29,117.85,117.06,117.85
2016-09-07,117.95,118.12,117.47,117.92
2016-09-08,117.57,117.6,116.92,117.23
2016-09-09,116.23,116.51,114.26,114.28
2016-09-12,113.64,116.49,113.63,116.33
2016-09-13,115.73,116.09,114.73,115.29
2016-09-14,115.43,116.47,115.38,115.84
2016-09-15,115.89,117.815,115.86,117.64
2016-09-16,117.22,117.412,116.71,117.29
2016-09-19,117.57,117.95,116.55,116.78
2016-09-20,117.19,117.48,116.8,117.0
2016-09-21,117.48,118.32,116.81,118.15
2016-09-22,118.85,119.22,118.7177,119.09
2016-09-23,118.92,119.0,118.16,118.33
2016-09-26,117.66,117.8,117.17,117.34
2016-09-27,117.31,118.5552,117.15,118.5
2016-09-28,118.62,118.77,118.09,118.7
2016-09-29,118.51,118.72,117.3338,117.84
2016-09-30,118.145,119.07,118.03,118.72
2016-10-03,118.53,118.7,118.09,118.55
2016-10-04,118.86,119.16,117.92,118.37
2016-10-05,118.7,119.17,118.67,118.79
2016-10-06,118.63,118.981,118.15,118.73
2016-10-07,118.86,119.01,117.89,118.47
2016-10-10,119.06,119.48,119.03,119.22
2016-10-11,119.1,119.14,117.0,117.52
2016-10-12,117.575,117.82,117.06,117.42
2016-10-13,116.635,117.32,115.94,117.0
2016-10-14,117.58,118.05,117.07,117.14
2016-10-17,117.1,117.3,116.672,116.82
2016-10-18,118.18,118.41,117.8,117.86
2016-10-19,117.77,118.02,117.64,117.85
2016-10-20,117.68,117.97,117.03,117.71
2016-10-21,117.8,118.22,117.41,118.15
2016-10-24,118.93,119.65,118.8918,119.57
2016-10-25,119.62,119.66,119.01,119.19
2016-10-26,118.41,119.03,118.03,118.38
2016-10-27,118.9,118.99,117.67,117.84
2016-10-28,117.47,118.11,116.74,117.1
2016-10-31,117.53,117.53,116.93,116.99
2016-11-01,117.19,117.21,115.1047,116.11
2016-11-02,116.05,116.3,114.89,115.18
2016-11-03,115.02,115.37,113.92,114.05
2016-11-04,113.72,114.54,113.45,113.65
2016-11-07,115.45,116.47,115.3,116.35
2016-11-08,116.21,117.64,115.96,117.11
2016-11-09,115.71,117.84,115.6,117.65
2016-11-10,118.14,118.38,114.195,115.75
2016-11-11,115.21,116.05,114.84,115.8
2016-11-14,115.84,115.94,114.03,114.63
2016-11-15,115.47,116.62,115.33,116.22
2016-11-16,115.7,116.9932,115.67,116.91
2016-11-17,116.86,117.78,116.61,117.76
2016-11-18,117.83,118.1,117.21,117.32
2016-11-21,117.6,118.65,117.57,118.54
2016-11-22,118.97,119.19,118.61,118.9
2016-11-23,118.51,118.64,117.9,118.42
2016-11-25,118.56,118.85,118.42,118.8
2016-11-28,118.64,119.08,118.4101,118.53
2016-11-29,118.63,119.51,118.3,118.94
2016-11-30,119.06,119.1335,117.46,117.5
2016-12-01,117.46,117.47,115.29,115.47
2016-12-02,115.57,116.16,115.22,115.7
2016-12-05,116.32,117.06,115.77,116.6
2016-12-06,116.88,117.08,116.39,116.88
2016-12-07,116.64,118.51,116.2919,118.36
2016-12-08,118.4,118.87,118.18,118.57
2016-12-09,119.03,119.5402,119.0,119.5
2016-12-12,118.95,119.21,118.47,118.96
2016-12-13,119.35,121.11,119.32,120.46
2016-12-14,120.56,121.0,119.86,120.21
2016-12-15,120.37,121.11,120.08,120.4
2016-12-16,120.28,120.5817,119.36,119.6
2016-12-19,119.74,120.83,119.55,120.09
2016-12-20,120.43,120.77,120.33,120.55
2016-12-21,120.57,120.68,120.19,120.46
2016-12-22,120.46,120.5,119.65,120.12
2016-12-23,119.96,120.25,119.81,120.2
2016-12-27,120.44,121.52,120.41,120.82
2016-12-28,121.06,121.19,119.795,119.88
2016-12-29,119.86,120.13,119.33,119.71
2016-12-30,119.93,119.95,118.14,118.48
2017-01-03,119.31,119.99,118.89,119.54
2017-01-04,119.67,120.41,119.6561,120.19
2017-01-05,120.16,120.95,120.1,120.87
2017-01-06,120.99,122.25,120.685,121.93
2017-01-09,122.03,122.55,121.95,122.33
2017-01-10,122.37,122.97,122.1,122.6
2017-01-11,122.63,122.93,122.02,122.93
2017-01-12,122.49,122.819,121.6,122.74
2017-01-13,122.81,123.37,122.8,123.16
2017-01-17,122.79,123.03,122.4342,122.79
2017-01-18,122.96,123.16,122.66,123.04
2017-01-19,123.19,123.65,122.72,122.98
2017-01-20,123.51,123.83,122.92,123.25
2017-01-23,123.16,123.53,122.57,123.35
2017-01-24,123.59,124.37,123.3847,124.18
2017-01-25,124.94,125.46,124.85,125.43
2017-01-26,125.59,125.82,125.3438,125.56
2017-01-27,125.8,125.9211,125.39,125.8
2017-01-30,125.37,125.38,124.13,124.82
2017-01-31,124.4,124.6,123.85,124.57
2017-02-01,125.42,125.68,124.86,125.43
2017-02-02,125.21,125.7,124.86,125.32
2017-02-03,125.49,125.81,125.33,125.68
2017-02-06,125.42,125.85,125.35,125.83
2017-02-07,126.06,126.55,125.97,126.29
2017-02-08,126.12,126.68,125.88,126.5
2017-02-09,126.63,127.24,126.56,126.96
2017-02-10,127.2,127.56,127.02,127.38
2017-02-13,127.76,128.26,127.7199,128.1
2017-02-14,128.15,128.535,127.74,128.53
2017-02-15,128.44,129.35,128.37,129.29
2017-02-16,129.36,129.63,128.92,129.25
2017-02-17,129.09,129.82,129.04,129.81
2017-02-21,130.03,130.53,129.99,130.45
2017-02-22,130.32,130.59,130.111,130.5
2017-02-23,130.7,130.7,129.49,130.01
2017-02-24,129.47,130.26,129.38,130.26
2017-02-27,130.02,130.43,129.8,130.42
2017-02-28,130.39,130.45,129.66,130.02
2017-03-01,130.81,131.68,130.6,131.44
2017-03-02,131.43,131.43,130.62,130.78
2017-03-03,130.65,131.06,130.341,131.02
2017-03-06,130.56,130.95,130.21,130.73
2017-03-07,130.45,131.08,130.28,130.51
2017-03-08,130.57,131.15,130.46,130.74
2017-03-09,130.71,131.02,130.14,130.84
2017-03-10,131.42,131.6,130.82,131.39
2017-03-13,131.34,131.64,131.27,131.61
2017-03-14,131.31,131.36,130.76,131.29
2017-03-15,131.58,132.405,131.14,132.1
2017-03-16,132.33,132.35,131.71,132.01
2017-03-17,131.86,132.04,131.62,131.69
2017-03-20,131.65,132.11,131.4601,131.81
2017-03-21,132.31,132.43,129.73,129.81
2017-03-22,129.89,130.82,129.68,130.69
2017-03-23,130.52,130.88,130.14,130.36
2017-03-24,130.78,131.29,130.13,130.63
2017-03-27,129.73,131.07,129.4,130.84
2017-03-28,130.81,132.03,130.55,131.64
2017-03-29,131.73,132.3,131.59,132.25
2017-03-30,132.22,132.61,132.08,132.47
2017-03-31,132.27,132.74,132.125,132.38
2017-04-03,132.48,132.81,131.56,132.3
2017-04-04,131.9,132.53,131.87,132.51
2017-04-05,132.68,133.48,131.72,131.97
2017-04-06,132.12,132.39,131.7,132.04
2017-04-07,131.99,132.37,131.5,131.97
2017-04-10,132.11,132.565,131.6564,132.02
2017-04-11,131.86,132.095,130.5,131.45
2017-04-12,131.45,131.54,130.78,130.92
2017-04-13,130.75,131.51,130.38,130.4
2017-04-17,130.8,131.5,130.72,131.48
2017-04-18,131.01,131.66,130.95,131.28
2017-04-19,131.85,132.29,131.31,131.49
2017-04-20,132.04,132.88,131.82,132.59
2017-04-21,132.7,132.76,132.22,132.56
2017-04-24,134.02,134.285,133.8042,134.16
2017-04-25,134.58,135.3664,134.48,135.13
2017-04-26,135.17,135.51,134.86,134.94
2017-04-27,135.28,135.75,135.19,135.75
2017-04-28,136.28,136.34,135.77,135.99
2017-05-01,136.46,137.38,136.38,137.2
2017-05-02,137.38,137.49,137.02,137.43
2017-05-03,137.14,137.17,136.615,136.99
2017-05-04,137.01,137.43,136.56,137.04
2017-05-05,137.39,137.54,136.88,137.54
2017-05-08,137.61,137.84,137.33,137.84
2017-05-09,138.05,138.628,137.93,138.32
2017-05-10,138.4,138.45,137.91,138.4
2017-05-11,138.03,138.33,137.38,138.29
2017-05-12,138.37,138.63,138.23,138.6
2017-05-15,138.63,139.12,138.53,139.04
2017-05-16,139.36,139.64,138.99,139.62
2017-05-17,138.55,138.77,136.05,136.07
2017-05-18,136.06,137.72,135.87,137.26
2017-05-19,137.71,138.42,137.66,137.84
2017-05-22,138.14,139.075,138.0967,139.0
2017-05-23,139.42,139.42,138.7801,139.14
2017-05-24,139.56,139.85,139.17,139.78
2017-05-25,140.315,141.33,140.01,140.97
2017-05-26,141.0,141.28,140.81,141.22
2017-05-30,141.13,141.505,141.06,141.34
2017-05-31,141.8,141.84,140.57,141.29
2017-06-01,141.57,141.9,140.98,141.84
2017-06-02,142.34,143.49,142.11,143.46
2017-06-05,143.44,143.68,143.23,143.43
2017-06-06,143.28,143.73,142.65,142.86
2017-06-07,143.23,143.54,142.6,143.42
2017-06-08,143.74,143.8,142.79,143.57
2017-06-09,143.73,143.9,138.11,139.98
2017-06-12,138.84,139.48,137.47,139.23
2017-06-13,140.01,140.56,139.28,140.36
2017-06-14,140.92,140.93,138.62,139.75
2017-06-15,138.35,139.28,137.49,139.13
2017-06-16,138.72,138.777,137.638,138.15
2017-06-19,139.45,140.59,139.28,140.46
2017-06-20,140.31,140.5,139.31,139.36
2017-06-21,139.66,140.81,139.59,140.74
2017-06-22,140.94,141.22,140.34,140.7
2017-06-23,140.53,141.42,140.15,141.24
2017-06-26,142.0,142.29,140.27,140.58
2017-06-27,140.07,140.22,138.02,138.03
2017-06-28,138.54,140.14,137.74,140.02
2017-06-29,139.4,139.44,136.25,137.59
2017-06-30,138.0,138.6687,137.19,137.64
2017-07-03,138.25,138.43,136.1,136.19
2017-07-05,136.57,137.9,136.16,137.53
2017-07-06,136.47,137.06,135.8,136.29
2017-07-07,136.74,138.13,136.74,137.76
2017-07-10,137.84,138.985,137.5,138.66
2017-07-11,138.44,139.22,137.94,139.05
2017-07-12,140.21,140.86,139.955,140.7
2017-07-13,140.85,141.35,140.6,141.01
2017-07-14,141.57,142.3,141.19,142.12
2017-07-17,142.25,142.69,141.92,142.19
2017-07-18,142.06,143.17,141.64,143.14
2017-07-19,143.53,144.19,143.5,143.98
2017-07-20,144.31,144.44,143.52,144.17
2017-07-21,143.62,144.11,143.35,144.11
2017-07-24,144.07,144.87,143.92,144.77
2017-07-25,144.29,144.74,144.01,144.4
2017-07-26,144.74,144.95,144.53,144.87
2017-07-27,145.86,145.96,142.3,143.96
2017-07-28,143.14,144.0752,142.87,143.84
2017-07-31,144.22,144.43,142.92,143.23
2017-08-01,143.7,143.76,143.12,143.56
2017-08-02,144.45,144.52,142.61,143.95
2017-08-03,144.17,144.17,143.13,143.39
2017-08-04,143.65,143.97,143.06,143.65
2017-08-07,143.89,144.56,143.71,144.56
2017-08-08,144.27,145.47,143.9,144.31
2017-08-09,143.14,144.19,142.795,144.12
2017-08-10,143.33,143.4,140.89,141.03
2017-08-11,141.24,142.41,140.9,142.1
2017-08-14,143.23,144.15,143.19,143.93
2017-08-15,144.22,144.302,143.64,144.03
2017-08-16,144.37,144.96,143.8007,144.28
2017-08-17,143.73,143.94,141.33,141.33
2017-08-18,141.43,142.2,140.65,141.23
2017-08-21,141.23,141.53,140.18,141.05
2017-08-22,141.8,143.35,141.76,143.2
2017-08-23,142.5,143.01,142.38,142.69
2017-08-24,143.03,143.17,141.47,142.27
2017-08-25,142.8,143.18,141.78,141.97
2017-08-28,142.41,142.74,141.9501,142.41
2017-08-29,141.18,143.21,141.06,142.97
2017-08-30,143.11,144.89,143.0,144.65
2017-08-31,145.03,146.21,144.98,146.2
2017-09-01,146.36,146.585,145.61,146.0
2017-09-05,145.55,145.88,143.6,144.69
2017-09-06,145.06,145.46,144.08,145.13
2017-09-07,145.4,145.84,144.94,145.47
2017-09-08,145.28,145.35,144.06,144.21
2017-09-11,145.3,146.12,145.3,145.87
2017-09-12,146.25,146.41,145.53,146.22
2017-09-13,145.95,146.44,145.73,146.42
2017-09-14,145.85,146.2869,145.47,145.56
2017-09-15,145.56,146.59,145.29,146.06
2017-09-18,145.88,146.37,145.11,145.55
2017-09-19,145.81,146.01,145.31,145.8
2017-09-20,145.75,145.91,144.23,145.35
2017-09-21,145.25,145.26,143.95,144.46
2017-09-22,144.0,144.53,143.855,144.32
2017-09-25,143.75,143.8299,142.1,142.8
2017-09-26,143.51,143.8,142.67,143.17
2017-09-27,143.93,145.0,143.57,144.46
2017-09-28,144.14,144.5566,143.78,144.41
2017-09-29,144.7,145.555,144.32,145.45
2017-10-02,145.67,146.17,144.93,145.58
2017-10-03,145.74,146.06,145.45,145.89
2017-10-04,145.6,146.34,145.47,146.03
2017-10-05,146.54,147.54,146.4063,147.46
2017-10-06,146.97,147.66,146.96,147.66
2017-10-09,147.86,148.0093,147.3,147.49
2017-10-10,147.98,148.14,146.95,147.6
2017-10-11,147.53,148.07,147.34,148.04
2017-10-12,147.84,148.355,147.615,147.77
2017-10-13,148.4,148.51,147.7772,148.34
2017-10-16,148.7,148.89,148.3928,148.85
2017-10-17,148.79,149.06,148.57,149.04
2017-10-18,149.21,149.21,148.64,148.86
2017-10-19,148.02,148.33,147.27,148.31
2017-10-20,148.91,149.04,148.53,148.71
2017-10-23,149.01,149.03,147.53,147.74
