Date,Open,High,Low,Close
2016-08-15,18.77,18.89,18.76,18.83
2016-08-16,18.77,18.95,18.73,18.82
2016-08-17,18.72,18.82,18.41,18.68
2016-08-18,18.79,18.85,18.7001,18.77
2016-08-19,18.4,18.48,18.33,18.35
2016-08-22,18.01,18.03,17.9,17.97
2016-08-23,18.05,18.1,17.91,17.93
2016-08-24,17.775,17.78,17.6,17.62
2016-08-25,17.61,17.705,17.6,17.63
2016-08-26,17.79,18.12,17.62,17.72
2016-08-29,17.68,17.93,17.66,17.9
2016-08-30,17.8,17.86,17.6437,17.67
2016-08-31,17.7,17.8,17.69,17.72
2016-09-01,17.74,17.99,17.69,17.94
2016-09-02,18.26,18.44,18.16,18.44
2016-09-06,18.66,19.116,18.63,19.05
2016-09-07,18.98,18.99,18.73,18.78
2016-09-08,18.78,18.87,18.5692,18.62
2016-09-09,18.49,18.5,18.1,18.11
2016-09-12,17.92,18.2199,17.85,18.17
2016-09-13,18.09,18.11,17.84,17.93
2016-09-14,18.05,18.14,18.0,18.02
2016-09-15,18.02,18.16,17.87,18.04
2016-09-16,17.77,17.88,17.74,17.86
2016-09-19,18.275,18.32,18.18,18.2
2016-09-20,18.15,18.3,18.115,18.27
2016-09-21,18.61,18.87,18.54,18.85
2016-09-22,18.98,19.05,18.85,18.9
2016-09-23,18.81,18.85,18.59,18.68
2016-09-26,18.64,18.67,18.37,18.41
2016-09-27,18.25,18.3,18.01,18.17
2016-09-28,18.09,18.24,17.96,18.21
2016-09-29,18.14,18.24,18.05,18.11
2016-09-30,18.65,18.67,18.13,18.2
2016-10-03,18.1,18.11,17.76,17.87
2016-10-04,17.58,17.58,16.82,16.94
2016-10-05,17.0,17.01,16.66,16.85
2016-10-06,16.51,16.56,16.24,16.44
2016-10-07,16.7,16.74,16.23,16.6
2016-10-10,16.75,16.83,16.7,16.73
2016-10-11,16.7,16.73,16.5599,16.56
2016-10-12,16.6,16.71,16.53,16.65
2016-10-13,16.6,16.66,16.535,16.61
2016-10-14,16.56,16.69,16.48,16.56
2016-10-17,16.54,16.6,16.5,16.57
2016-10-18,16.69,16.8,16.62,16.72
2016-10-19,16.8,16.845,16.675,16.79
2016-10-20,16.8,16.83,16.56,16.64
2016-10-21,16.65,16.66,16.57,16.65
2016-10-24,16.96,16.98,16.64,16.7
2016-10-25,16.8,16.92,16.77,16.86
2016-10-26,16.81,16.87,16.68,16.71
2016-10-27,16.75,16.77,16.675,16.73
2016-10-28,16.82,17.01,16.73,16.87
2016-10-31,16.94,17.0,16.87,16.97
2016-11-01,17.37,17.55,17.32,17.41
2016-11-02,17.62,17.79,17.55,17.56
2016-11-03,17.26,17.5,17.24,17.42
2016-11-04,17.47,17.54,17.4,17.46
2016-11-07,17.31,17.32,17.09,17.29
2016-11-08,17.37,17.78,17.34,17.4
2016-11-09,17.86,17.87,17.4,17.45
2016-11-10,17.65,17.8011,17.475,17.56
2016-11-11,17.49,17.5,16.31,16.47
2016-11-14,16.19,16.23,15.78,16.0
2016-11-15,16.04,16.26,16.01,16.19
2016-11-16,16.2,16.21,16.0,16.09
2016-11-17,16.11,16.17,15.73,15.84
2016-11-18,15.78,15.85,15.6,15.73
2016-11-21,15.76,15.86,15.67,15.72
2016-11-22,15.88,15.9,15.6932,15.8
2016-11-23,15.5,15.62,15.3401,15.52
2016-11-25,15.7,15.72,15.595,15.63
2016-11-28,15.72,15.839,15.63,15.77
2016-11-29,15.59,15.87,15.58,15.78
2016-11-30,15.78,15.8148,15.57,15.66
2016-12-01,15.51,15.82,15.45,15.66
2016-12-02,15.7,15.94,15.68,15.83
2016-12-05,15.75,16.0,15.67,15.88
2016-12-06,15.86,16.01,15.83,15.85
2016-12-07,16.17,16.34,16.1601,16.23
2016-12-08,16.14,16.2,16.08,16.14
2016-12-09,16.15,16.18,15.92,15.97
2016-12-12,16.24,16.29,16.16,16.19
2016-12-13,16.18,16.24,15.9,16.04
2016-12-14,16.24,16.33,15.8725,15.93
2016-12-15,15.25,15.3,15.061,15.18
2016-12-16,15.22,15.42,15.12,15.27
2016-12-19,15.24,15.26,15.09,15.17
2016-12-20,14.86,15.26,14.85,15.24
2016-12-21,15.26,15.3,15.07,15.12
2016-12-22,15.05,15.2,14.95,14.98
2016-12-23,14.95,14.99,14.88,14.91
2016-12-27,14.99,15.15,14.9744,15.13
2016-12-28,15.08,15.22,15.0401,15.2
2016-12-29,15.21,15.4,15.17,15.32
2016-12-30,15.37,15.41,15.02,15.11
2017-01-03,15.25,15.64,15.19,15.44
2017-01-04,15.58,15.66,15.49,15.58
2017-01-05,15.73,15.85,15.66,15.76
2017-01-06,15.57,15.7,15.55,15.64
2017-01-09,15.69,15.83,15.65,15.7
2017-01-10,15.8,16.03,15.8,15.91
2017-01-11,15.77,16.0,15.67,15.87
2017-01-12,15.98,16.07,15.86,15.91
2017-01-13,15.82,15.95,15.73,15.94
2017-01-17,16.21,16.32,16.17,16.28
2017-01-18,16.28,16.43,16.15,16.19
2017-01-19,15.945,16.17,15.87,16.12
2017-01-20,16.12,16.27,16.02,16.19
2017-01-23,16.23,16.31,16.18,16.29
2017-01-24,16.28,16.39,16.14,16.22
2017-01-25,15.96,16.13,15.91,16.1
2017-01-26,15.94,16.0225,15.84,15.93
2017-01-27,15.9,16.35,15.85,16.22
2017-01-30,16.28,16.3717,16.18,16.23
2017-01-31,16.56,16.69,16.5,16.63
2017-02-01,16.54,16.72,16.45,16.61
2017-02-02,16.73,16.76,16.5,16.56
2017-02-03,16.49,16.63,16.47,16.57
2017-02-06,16.71,16.83,16.66,16.82
2017-02-07,16.76,16.87,16.75,16.79
2017-02-08,16.88,16.94,16.76,16.84
2017-02-09,16.89,16.92,16.691,16.75
2017-02-10,16.75,17.07,16.75,17.02
2017-02-13,16.96,16.98,16.83,16.89
2017-02-14,17.11,17.12,16.81,17.01
2017-02-15,16.91,17.05,16.89,17.04
2017-02-16,17.11,17.19,17.08,17.15
2017-02-17,17.06,17.13,17.04,17.06
2017-02-21,16.96,17.14,16.9,17.03
2017-02-22,17.06,17.11,16.985,17.11
2017-02-23,17.23,17.27,17.11,17.24
2017-02-24,17.37,17.45,17.29,17.4
2017-02-27,17.41,17.53,17.265,17.27
2017-02-28,17.42,17.495,17.34,17.37
2017-03-01,17.34,17.49,17.33,17.44
2017-03-02,17.34,17.4,16.75,16.8
2017-03-03,16.81,17.04,16.73,16.98
2017-03-06,16.93,16.93,16.77,16.83
2017-03-07,16.63,16.69,16.545,16.55
2017-03-08,16.41,16.44,16.31,16.32
2017-03-09,16.32,16.34,16.04,16.06
2017-03-10,16.07,16.16,16.0,16.15
2017-03-13,16.08,16.13,16.06,16.07
