Date,Open,High,Low,Close,Sessions
1998-01-31,42.937372,44.282331,42.109632,43.721924,9
1998-02-28,44.489281,47.429438,44.368574,47.231133,19
1998-03-31,47.317308,49.69696,46.472355,48.662308,22
1998-04-30,48.757205,51.016912,48.403704,50.333221,21
1998-05-31,50.454342,51.276564,48.754002,49.256409,20
1998-06-30,49.135202,50.590506,47.64515,49.831436,22
1998-07-31,50.213425,52.01918,48.902585,49.189056,22
1998-08-31,49.241119,49.406066,41.696697,41.696697,21
1998-09-30,42.44502,45.658077,41.139823,43.601696,21
1998-10-31,42.939452,49.07365,41.527903,47.975807,22
1998-11-30,48.394028,52.558758,48.08906,50.725952,20
1998-12-31,50.411728,52.333009,48.3258,51.213974,22
1999-01-31,51.52001,54.064017,50.641906,52.279461,19
1999-02-28,52.673556,53.960194,50.983477,52.144611,19
1999-03-31,52.206023,56.641238,51.644669,54.954571,23
1999-04-30,55.376291,61.606192,54.840448,60.51675,21
1999-05-31,60.692377,62.695608,58.724975,59.244411,20
1999-06-30,59.279628,62.190386,58.636911,61.696812,22
1999-07-31,61.961199,63.548827,59.98704,60.004673,21
1999-08-31,60.022262,64.317815,59.405123,61.207939,22
1999-09-30,61.596686,63.257655,57.036733,58.664291,21
1999-10-31,58.053965,61.161342,56.383072,60.913582,21
1999-11-30,60.878183,63.092659,59.69249,61.656696,21
1999-12-31,61.65672,65.708543,61.638993,65.406937,22
2000-01-31,65.885981,66.720047,60.797839,62.218349,20
2000-02-29,62.253926,63.177231,55.859369,57.779339,20
2000-03-31,57.903867,64.07882,55.094932,62.351776,23
2000-04-30,62.280606,65.253967,57.838333,61.309288,19
2000-05-31,61.54094,62.573971,58.495012,60.121399,22
2000-06-30,60.505026,62.208723,59.029576,59.618622,22
2000-07-31,59.832755,62.313934,59.440102,60.060341,20
2000-08-31,60.364281,64.895569,60.087217,64.403435,23
2000-09-30,64.671834,65.333998,60.508012,61.135082,20
2000-10-31,61.341089,63.107784,55.473096,62.811756,22
2000-11-30,62.668266,63.278215,59.137521,60.017757,21
2000-12-31,60.323126,62.909927,59.14961,61.451576,20
2001-01-31,61.685361,64.74269,60.192693,62.608383,21
2001-02-28,62.637108,63.651165,59.431361,60.585392,19
2001-03-31,60.26801,62.766444,52.586396,57.290264,22
2001-04-30,56.862675,63.107544,54.181315,62.008713,20
2001-05-31,62.141716,65.802778,61.748434,63.18465,22
2001-06-30,63.427856,64.980265,60.310023,61.023182,21
2001-07-31,60.756506,62.043751,58.761786,60.96677,21
2001-08-31,61.402105,61.674956,57.432831,58.043114,23
2001-09-30,57.938495,59.31577,46.304825,51.459541,15
2001-10-31,51.168298,56.033811,50.877073,52.873566,23
2001-11-30,53.147598,58.476095,52.56452,57.56525,21
2001-12-31,57.279125,59.648104,56.759467,58.395851,20
2002-01-31,58.79374,60.350205,55.813351,58.120846,21
2002-02-28,58.044753,60.228275,56.135446,59.290012,19
2002-03-31,59.694641,62.756756,59.372092,60.912552,20
2002-04-30,60.706974,61.159251,57.685017,58.484402,22
2002-05-31,58.572595,61.004973,57.585042,58.420971,22
2002-06-30,58.438596,58.927155,52.512611,54.56469,20
2002-07-31,54.647266,55.543598,44.468279,51.479927,22
