Date,Open,High,Low,Close,Sessions
2004-11-30,44.43,45.599998,44.07,45.119999,8
2004-12-31,45.279999,46.0,43.200001,43.799999,22
2005-01-31,42.98,43.169998,41.700001,42.220001,20
2005-02-28,42.09,43.740002,41.02,43.529999,19
2005-03-31,43.299999,44.669998,42.349998,42.82,22
2005-04-30,42.599998,43.700001,42.16,43.349998,21
2005-05-31,43.130001,43.169998,41.330002,41.650002,21
2005-06-30,41.41,44.130001,41.400002,43.439999,22
2005-07-31,43.400002,43.400002,41.700001,42.82,20
2005-08-31,43.080002,44.720001,42.810001,43.400002,23
2005-09-30,43.93,47.23,43.849998,46.700001,21
2005-10-31,46.619999,47.720001,45.830002,46.400002,21
2005-11-30,46.07,49.990002,45.32,49.099998,21
2005-12-31,49.630001,53.759998,48.799999,51.580002,21
2006-01-31,52.290001,57.049999,52.099998,56.700001,20
2006-02-28,56.790001,57.299999,53.330002,56.07,19
2006-03-31,56.02,58.700001,53.150002,58.099998,23
2006-04-30,58.619999,65.269997,58.0,65.089996,19
2006-05-31,65.68,72.260002,63.220001,64.230003,22
2006-06-30,62.150002,64.190002,55.049999,61.23,22
2006-07-31,61.959999,66.419998,59.830002,63.16,20
2006-08-31,62.919998,65.220001,60.299999,62.290001,23
2006-09-30,61.950001,63.630001,56.66,59.470001,20
2006-10-31,59.799999,60.650002,55.549999,60.240002,22
2006-11-30,61.029999,64.43,60.68,64.389999,21
2006-12-31,64.199997,64.550003,60.650002,63.209999,20
2007-01-31,63.580002,64.980003,59.66,64.830002,20
2007-02-28,65.449997,68.330002,63.799999,66.480003,19
2007-03-31,66.230003,66.75,62.619999,65.739998,22
2007-04-30,65.739998,68.730003,65.029999,67.089996,20
2007-05-31,66.980003,68.459999,64.519997,65.540001,22
2007-06-30,65.699997,66.760002,63.389999,64.269997,21
2007-07-31,64.510002,68.0,63.880001,65.790001,21
2007-08-31,65.5,67.540001,63.470001,66.519997,23
2007-09-30,66.739998,73.800003,66.589996,73.510002,19
2007-10-31,73.489998,78.949997,71.239998,78.620003,23
2007-11-30,78.400002,83.629997,76.110001,77.32,21
2007-12-31,77.389999,83.019997,77.300003,82.459999,20
2008-01-31,83.559998,92.580002,83.440002,91.400002,21
2008-02-29,91.75,96.239998,87.300003,96.18,20
