Date,Open,High,Low,Close,Sessions
1989-12-31,0.363199,0.372702,0.35053,0.367423,3
1990-01-31,0.368479,0.405432,0.354752,0.390651,22
1990-02-28,0.390651,0.424437,0.389595,0.417046,19
1990-03-31,0.41599,0.49412,0.41599,0.467725,22
1990-04-30,0.463502,0.532129,0.46139,0.489897,20
1990-05-31,0.496232,0.665162,0.479339,0.616594,22
1990-06-30,0.618706,0.656715,0.599701,0.641934,21
1990-07-31,0.641934,0.682054,0.555357,0.561692,21
1990-08-31,0.55958,0.568027,0.42866,0.51946,23
1990-09-30,0.515236,0.536352,0.460334,0.532129,19
1990-10-31,0.546911,0.578585,0.451888,0.538464,23
1990-11-30,0.53213,0.627152,0.530018,0.610259,21
1990-12-31,0.618706,0.648268,0.595478,0.635599,20
1991-01-31,0.633487,0.840425,0.616594,0.828812,22
1991-02-28,0.836203,0.920668,0.821421,0.876324,19
1991-03-31,0.869989,0.954454,0.785525,0.896384,20
1991-04-30,0.895329,0.992463,0.810864,0.836203,22
1991-05-31,0.83198,0.950231,0.816143,0.927003,22
1991-06-30,0.924891,0.969236,0.823533,0.863126,20
1991-07-31,0.871045,0.937561,0.76652,0.931226,22
1991-08-31,0.934394,1.0991,0.909054,1.080096,22
1991-09-30,1.076928,1.140277,1.01358,1.127608,20
1991-10-31,1.127607,1.206793,1.092766,1.189372,23
1991-11-30,1.184622,1.289147,1.149779,1.232133,20
1991-12-31,1.219463,1.419012,1.216295,1.40951,21
1992-01-31,1.403174,1.688244,1.387337,1.523537,22
1992-02-29,1.498198,1.634397,1.431681,1.564714,19
1992-03-31,1.567881,1.650234,1.479193,1.501365,22
1992-04-30,1.485527,1.637564,1.355663,1.396839,21
1992-05-31,1.400006,1.548877,1.38417,1.53304,20
1992-06-30,1.526704,1.577383,1.249554,1.330323,22
1992-07-31,1.335075,1.420595,1.244802,1.382586,22
1992-08-31,1.382586,1.425347,1.292314,1.415845,21
1992-09-30,1.406342,1.558378,1.392089,1.529872,21
1992-10-31,1.52037,1.715167,1.4396,1.686661,22
1992-11-30,1.691411,1.805439,1.658153,1.769805,20
1992-12-31,1.762679,1.786434,1.620143,1.622519,22
1993-01-31,1.615393,1.786433,1.60589,1.643899,20
1993-02-28,1.639149,1.715167,1.458605,1.584511,19
1993-03-31,1.591638,1.791186,1.544125,1.757927,23
1993-04-30,1.757927,1.800688,1.515619,1.624895,21
1993-05-31,1.624895,1.814941,1.60589,1.760303,20
1993-06-30,1.767429,1.862452,1.648651,1.672407,22
1993-07-31,1.677158,1.681909,1.368332,1.406342,21
1993-08-31,1.420596,1.506116,1.337451,1.427721,22
1993-09-30,1.430098,1.601139,1.392089,1.567881,21
1993-10-31,1.567881,1.629647,1.48236,1.522745,21
1993-11-30,1.525121,1.577383,1.444351,1.52037,21
1993-12-31,1.529872,1.643899,1.506117,1.532247,22
1994-01-31,1.529872,1.653402,1.506116,1.617768,21
1994-02-28,1.615393,1.629646,1.48236,1.567881,19
1994-03-31,1.577384,1.696163,1.515618,1.610641,23
1994-04-30,1.567881,1.81019,1.558378,1.757927,19
1994-05-31,1.762678,2.04359,1.727045,2.042996,21
1994-06-30,2.033495,2.076255,1.871954,1.962226,22
1994-07-31,1.962227,1.966979,1.781683,1.957476,20
