Date,Open,High,Low,Close,Sessions
1999-01-31,0.040063,0.044713,0.035532,0.036247,6
1999-02-28,0.036247,0.050079,0.033028,0.041851,19
1999-03-31,0.042924,0.043878,0.034817,0.040301,23
1999-04-30,0.040301,0.04197,0.030524,0.034816,21
1999-05-31,0.035174,0.040778,0.031478,0.032551,20
1999-06-30,0.032432,0.036486,0.03124,0.036486,22
1999-07-31,0.036486,0.044117,0.03267,0.038393,21
1999-08-31,0.038393,0.054133,0.037201,0.053656,22
1999-09-30,0.053656,0.053656,0.031955,0.036724,21
1999-10-31,0.036128,0.047693,0.034577,0.042209,21
1999-11-30,0.041494,0.084656,0.041494,0.066055,21
1999-12-31,0.066055,0.090498,0.066055,0.089544,22
2000-01-31,0.090141,0.092049,0.066771,0.070706,20
2000-02-29,0.070825,0.130204,0.068202,0.122095,20
2000-03-31,0.122095,0.286162,0.109696,0.161175,23
2000-04-30,0.159714,0.210567,0.108741,0.170028,19
2000-05-31,0.176466,0.224995,0.144035,0.217721,22
2000-06-30,0.22416,0.335763,0.218198,0.242522,22
2000-07-31,0.244192,0.294985,0.190774,0.228929,20
2000-08-31,0.228929,0.314778,0.206036,0.302854,23
2000-09-30,0.309055,0.325747,0.238468,0.312393,20
2000-10-31,0.316685,0.329086,0.200551,0.237097,22
2000-11-30,0.231314,0.305239,0.138789,0.154527,21
2000-12-31,0.164066,0.193636,0.104926,0.125017,20
2001-01-31,0.125911,0.217483,0.107787,0.196974,21
2001-02-28,0.196975,0.232745,0.156435,0.170505,19
2001-03-31,0.168358,0.273523,0.15262,0.247709,22
2001-04-30,0.247053,0.343356,0.205321,0.31783,20
2001-05-31,0.318975,0.381549,0.288261,0.326644,22
2001-06-30,0.328896,0.380023,0.316495,0.353886,21
2001-07-31,0.339884,0.346065,0.25663,0.308673,21
2001-08-31,0.314739,0.346141,0.306193,0.32321,23
2001-09-30,0.322333,0.322333,0.194666,0.209623,15
2001-10-31,0.20947,0.384906,0.172918,0.327064,23
2001-11-30,0.331261,0.427258,0.326224,0.416956,21
2001-12-31,0.408181,0.536077,0.403298,0.510513,20
2002-01-31,0.512726,0.554467,0.456027,0.50166,21
2002-02-28,0.500822,0.506163,0.375826,0.389256,19
2002-03-31,0.392996,0.461598,0.319509,0.338511,20
2002-04-30,0.319738,0.341029,0.231753,0.265634,22
2002-05-31,0.261284,0.310199,0.234348,0.255332,22
2002-06-30,0.249151,0.256706,0.125377,0.131101,20
2002-07-31,0.13049,0.178183,0.083483,0.084475,22
2002-08-31,0.085162,0.102636,0.064787,0.077073,22
2002-09-30,0.07341,0.090809,0.063718,0.065321,20
2002-10-31,0.065856,0.091419,0.054943,0.090809,23
2002-11-30,0.089435,0.135679,0.077989,0.130719,20
2002-12-31,0.137663,0.139418,0.085391,0.087833,21
2003-01-31,0.091572,0.105918,0.072952,0.078752,21
2003-02-28,0.080201,0.102942,0.071197,0.096303,19
2003-03-31,0.097448,0.113167,0.091572,0.098287,21
2003-04-30,0.100347,0.112175,0.098135,0.109352,21
2003-05-31,0.108589,0.203213,0.107979,0.199702,21
2003-06-30,0.204892,0.21176,0.168339,0.174826,21
2003-07-31,0.172613,0.196497,0.140105,0.145675,22
2003-08-31,0.145752,0.163837,0.116449,0.138655,21
2003-09-30,0.141097,0.163837,0.119806,0.121866,21
2003-10-31,0.122095,0.143157,0.121714,0.134915,23
2003-11-30,0.134229,0.168797,0.132855,0.162006,19
2003-12-31,0.163837,0.18467,0.148804,0.177038,22
2004-01-31,0.179863,0.19749,0.161395,0.16979,20
2004-02-29,0.171163,0.185662,0.167042,0.16979,19
2004-03-31,0.169332,0.203594,0.157427,0.201458,23
2004-04-30,0.201687,0.208708,0.155977,0.156588,21
2004-05-31,0.158266,0.179938,0.151856,0.178947,20
2004-06-30,0.175894,0.183983,0.147126,0.156206,21
2004-07-31,0.157961,0.15819,0.105612,0.11767,21
2004-08-31,0.117746,0.119806,0.070968,0.095082,22
2004-09-30,0.093861,0.115838,0.09264,0.110802,21
2004-10-31,0.111336,0.121257,0.099813,0.11042,21
2004-11-30,0.111946,0.156664,0.110497,0.145981,21
2004-12-31,0.147278,0.190469,0.14621,0.179786,22
2005-01-31,0.186044,0.188638,0.15613,0.174902,20
2005-02-28,0.174749,0.223511,0.173681,0.221222,19
2005-03-31,0.222214,0.225877,0.179099,0.181312,22
2005-04-30,0.183525,0.18612,0.15964,0.167347,21
2005-05-31,0.169332,0.21298,0.164218,0.206799,21
2005-06-30,0.205426,0.224275,0.19665,0.2039,22
2005-07-31,0.203213,0.223588,0.193979,0.206494,20
2005-08-31,0.207715,0.237018,0.206341,0.234119,23
2005-09-30,0.233432,0.263956,0.227709,0.26159,21
2005-10-31,0.264642,0.274333,0.232821,0.256019,21
2005-11-30,0.256019,0.293792,0.250602,0.27586,21
2005-12-31,0.278149,0.291809,0.27029,0.278989,21
2006-01-31,0.280591,0.356825,0.279676,0.343089,20
2006-02-28,0.336908,0.387044,0.32714,0.359648,19
2006-03-31,0.360946,0.444352,0.353009,0.43695,23
2006-04-30,0.439239,0.470679,0.423214,0.445955,19
2006-05-31,0.449007,0.486551,0.348583,0.35072,22
2006-06-30,0.354688,0.376818,0.291809,0.324927,22
2006-07-31,0.332406,0.346599,0.262048,0.3379,20
2006-08-31,0.333779,0.450533,0.318212,0.444276,23
2006-09-30,0.437713,0.476936,0.402,0.451602,20
2006-10-31,0.449464,0.532185,0.422299,0.532185,22
2006-11-30,0.525164,0.569118,0.481057,0.56454,21
2006-12-31,0.558283,0.594606,0.532642,0.564845,20
2007-01-31,0.56576,0.572628,0.456485,0.467779,20
2007-02-28,0.463353,0.532795,0.462437,0.473121,19
2007-03-31,0.462895,0.482278,0.427945,0.43924,22
2007-04-30,0.438171,0.517991,0.431608,0.501966,20
2007-05-31,0.511123,0.549431,0.491435,0.528674,22
2007-06-30,0.534626,0.669542,0.525317,0.630472,21
2007-07-31,0.639476,0.731505,0.637492,0.698388,21
2007-08-31,0.688315,0.783701,0.618109,0.780802,23
2007-09-30,0.784312,0.851617,0.728682,0.82964,19
2007-10-31,0.836737,0.908163,0.745394,0.809952,23
2007-11-30,0.797361,0.87451,0.666414,0.722043,21
2007-12-31,0.732574,0.833303,0.717694,0.778818,20
2008-01-31,0.781107,0.784083,0.511199,0.562938,21
2008-02-29,0.561793,0.631616,0.484415,0.48968,20
2008-03-31,0.488993,0.49609,0.396277,0.453051,20
2008-04-30,0.466558,0.482125,0.403145,0.47045,22
2008-05-31,0.476173,0.57942,0.473884,0.565456,21
2008-06-30,0.565456,0.580336,0.42558,0.428556,21
2008-07-31,0.423519,0.429929,0.244954,0.261895,22
2008-08-31,0.255027,0.323248,0.24152,0.289367,21
2008-09-30,0.294174,0.296692,0.201458,0.245183,21
2008-10-31,0.24152,0.24587,0.136671,0.200542,23
2008-11-30,0.204892,0.208555,0.131634,0.17101,19
2008-12-31,0.164142,0.216338,0.154298,0.184746,22
2009-01-31,0.184746,0.21588,0.162082,0.181999,20
2009-02-28,0.179252,0.228243,0.165058,0.189553,19
2009-03-31,0.184975,0.271281,0.17101,0.225724,22
2009-04-30,0.222977,0.276547,0.214507,0.262811,21
2009-05-31,0.262124,0.283643,0.190698,0.238773,20
2009-06-30,0.241521,0.279294,0.23099,0.258461,22
2009-07-31,0.260064,0.302416,0.22229,0.296006,22
2009-08-31,0.303103,0.344081,0.291198,0.332405,21
2009-09-30,0.332177,0.379565,0.319357,0.344081,21
2009-10-31,0.342936,0.342936,0.272426,0.273799,22
2009-11-30,0.273342,0.318441,0.264642,0.298982,20
2009-12-31,0.300584,0.433821,0.298982,0.42764,22
2010-01-31,0.423748,0.43405,0.346828,0.352322,19
2010-02-28,0.353696,0.409783,0.35072,0.370866,19
2010-03-31,0.371095,0.419857,0.368118,0.398337,23
2010-04-30,0.400169,0.415049,0.359419,0.359648,21
2010-05-31,0.361479,0.36354,0.271281,0.300813,20
2010-06-30,0.296693,0.300127,0.233737,0.233737,22
2010-07-31,0.234424,0.262811,0.204205,0.210386,21
2010-08-31,0.214049,0.234653,0.198024,0.213591,22
2010-09-30,0.216796,0.282957,0.21382,0.26739,21
2010-10-31,0.271281,0.280209,0.237629,0.275173,21
2010-11-30,0.277005,0.316838,0.273342,0.311573,21
2010-12-31,0.317754,0.353009,0.317296,0.352551,22
2011-01-31,0.355298,0.573468,0.353009,0.547599,20
2011-02-28,0.552407,0.599108,0.498608,0.518754,19
2011-03-31,0.51967,0.526309,0.389409,0.422604,23
2011-04-30,0.428098,0.467932,0.385288,0.457859,20
2011-05-31,0.467474,0.469763,0.391927,0.458775,21
2011-06-30,0.456714,0.457401,0.340189,0.364913,22
2011-07-31,0.364913,0.372697,0.311115,0.316609,20
2011-08-31,0.323935,0.352093,0.266703,0.304705,23
2011-09-30,0.308826,0.368576,0.283415,0.286391,21
2011-10-31,0.282728,0.363769,0.262582,0.338815,21
2011-11-30,0.326453,0.358732,0.309055,0.357817,21
2011-12-31,0.354841,0.367432,0.300126,0.317296,21
2012-01-31,0.327369,0.348888,0.309055,0.338129,20
2012-02-29,0.342021,0.386891,0.337213,0.346828,20
2012-03-31,0.348202,0.35713,0.325995,0.352551,22
