Date,Open,High,Low,Close,Sessions
2006-04-30,12.9,13.98,12.87,13.812,1
2006-05-31,13.92,15.25,12.168,12.628,22
2006-06-30,11.825,12.38,9.549,11.139,22
2006-07-31,11.319,11.83,10.47,11.415,20
2006-08-31,11.414,12.917,11.4,12.908,23
2006-09-30,12.825,13.225,10.461,11.451,20
2006-10-31,11.63,12.27,10.541,12.268,22
2006-11-30,12.49,13.968,12.289,13.968,21
2006-12-31,13.935,14.17,12.259,12.864,20
2007-01-31,12.996,13.602,12.005,13.516,20
2007-02-28,13.699,14.7,13.148,14.125,19
2007-03-31,14.13,14.15,12.356,13.352,22
2007-04-30,13.1,14.1,12.921,13.335,20
2007-05-31,13.188,13.535,12.618,13.383,22
2007-06-30,13.511,13.737,12.087,12.35,21
2007-07-31,12.496,13.39,12.35,12.802,21
2007-08-31,12.866,13.119,11.0,11.998,23
2007-09-30,12.019,13.772,11.965,13.655,19
2007-10-31,13.61,14.444,12.968,14.36,23
2007-11-30,14.019,15.72,13.7,13.9,21
2007-12-31,13.945,14.765,13.588,14.697,20
2008-01-31,14.856,16.903999,14.856,16.818001,21
2008-02-29,17.028999,19.719,16.110001,19.667999,20
2008-03-31,20.218,20.73,16.514,17.041,20
2008-04-30,16.488001,18.389999,16.171,16.719999,22
2008-05-31,16.275,18.113001,15.84,16.673,21
2008-06-30,16.493999,17.493,16.135,17.263,21
2008-07-31,17.723,19.169001,16.629999,17.530001,22
2008-08-31,17.26,17.549999,12.61,13.37,21
2008-09-30,12.46,13.62,10.15,11.85,21
2008-10-31,12.16,12.83,8.45,9.58,23
2008-11-30,9.71,10.67,8.69,10.23,19
2008-12-31,9.27,11.48,9.02,11.2,22
2009-01-31,11.07,12.53,10.2,12.52,20
2009-02-28,12.28,14.45,12.02,12.88,19
2009-03-31,12.98,13.73,11.75,12.79,22
2009-04-30,12.92,13.0,11.64,12.21,21
2009-05-31,12.14,15.48,12.1,15.47,20
2009-06-30,15.59,15.78,13.27,13.38,22
2009-07-31,13.58,13.88,12.27,13.7,22
2009-08-31,14.17,14.8,13.33,14.62,21
2009-09-30,14.57,17.26,14.45,16.379999,21
2009-10-31,16.389999,17.639999,15.78,16.07,22
2009-11-30,16.18,18.610001,16.0,18.15,20
2009-12-31,18.51,19.110001,16.450001,16.540001,22
2010-01-31,17.049999,18.450001,15.7,15.9,19
2010-02-28,16.02,16.469999,14.37,16.07,19
2010-03-31,16.23,17.309999,16.1,17.139999,23
2010-04-30,17.58,18.4,17.25,18.26,21
2010-05-31,18.41,19.440001,16.73,18.030001,20
2010-06-30,18.17,18.940001,16.940001,18.209999,22
2010-07-31,18.059999,18.1,17.059999,17.58,21
2010-08-31,18.02,19.0,17.43,18.93,22
2010-09-30,18.959999,21.57,18.879999,21.309999,21
2010-10-31,21.52,24.17,21.42,24.17,21
2010-11-30,24.35,28.719999,23.41,27.440001,21
2010-12-31,27.780001,30.25,27.34,30.18,22
2011-01-31,30.290001,30.440001,26.030001,27.389999,20
2011-02-28,27.709999,33.200001,27.23,33.110001,19
2011-03-31,33.580002,37.259998,33.009998,36.77,23
2011-04-30,36.400002,48.349998,36.18,46.880001,20
2011-05-31,44.099998,46.23,31.969999,37.599998,21
2011-06-30,37.049999,37.5,32.529999,33.84,22
2011-07-31,33.060001,40.349998,32.610001,38.849998,20
2011-08-31,38.27,42.779999,36.040001,40.450001,23
2011-09-30,40.400002,42.299999,27.41,28.91,21
2011-10-31,29.99,34.439999,27.9,33.439999,21
2011-11-30,31.700001,34.389999,29.83,32.0,21
2011-12-31,32.139999,32.529999,25.65,26.940001,21
2012-01-31,27.969999,33.099998,27.83,32.279999,20
2012-02-29,32.970001,36.439999,31.82,33.549999,20
2012-03-31,33.740002,34.639999,30.209999,31.379999,22
2012-04-30,31.530001,32.34,29.09,30.110001,20
2012-05-31,30.360001,30.440001,25.99,26.959999,22
2012-06-30,27.469999,29.02,25.34,26.65,21
2012-07-31,26.66,27.6,25.73,27.120001,21
