Date,Open,High,Low,Close,Sessions
1998-12-31,5.683921,6.017265,5.675373,5.995898,7
1999-01-31,6.00017,6.397616,5.73093,5.773666,19
1999-02-28,5.820677,6.136926,5.722383,5.863411,19
1999-03-31,5.820676,6.209021,5.701015,5.968894,23
1999-04-30,5.977467,7.628349,5.977467,7.443966,21
1999-05-31,7.469692,7.817024,6.76646,6.76646,20
1999-06-30,6.835071,7.454278,6.822207,7.157484,22
1999-07-31,7.196195,7.428469,7.015539,7.075756,21
1999-08-31,7.028442,7.415564,6.757457,6.757457,22
1999-09-30,6.757452,7.028441,6.290957,6.545532,21
1999-10-31,6.601624,6.825991,6.403144,6.700863,21
1999-11-30,6.739698,6.933862,6.515327,6.605939,21
1999-12-31,6.636143,7.396313,6.580051,7.370314,22
2000-01-31,7.396312,7.747282,6.334743,6.469064,20
2000-02-29,6.469062,6.651048,5.758465,5.819126,20
2000-03-31,5.888452,6.527847,5.459492,6.406237,23
2000-04-30,6.514818,6.99257,6.054438,6.193418,19
2000-05-31,6.136958,6.610371,5.967574,5.997974,22
2000-06-30,5.902426,6.132614,5.485078,5.485078,22
2000-07-31,5.576716,5.93453,5.437078,5.533077,20
2000-08-31,5.554896,5.969441,5.506896,5.659626,23
2000-09-30,5.629076,5.821076,4.815099,5.104797,20
2000-10-31,5.091628,5.5964,4.775596,5.552507,22
2000-11-30,5.583234,5.653461,5.245254,5.41205,21
2000-12-31,5.517392,6.341185,5.482277,6.174545,20
2001-01-31,6.269125,6.309656,5.521512,6.00971,21
2001-02-28,6.116359,6.153831,5.764713,6.087537,19
2001-03-31,6.104829,6.589063,5.510476,5.782671,22
2001-04-30,5.930354,6.550027,5.646574,6.399451,20
2001-05-31,6.384973,7.132056,6.364704,6.645584,22
2001-06-30,6.706391,6.891719,6.200995,6.416226,21
2001-07-31,6.387141,6.625639,6.116645,6.398773,21
2001-08-31,6.42786,6.544202,6.142822,6.372599,23
2001-09-30,6.296977,6.48894,4.98872,5.617799,15
2001-10-31,5.6178,6.053764,5.512466,5.769945,23
2001-11-30,5.828464,6.518989,5.75239,6.501434,21
2001-12-31,6.378542,6.729657,6.200062,6.306717,20
2002-01-31,6.312608,6.67476,5.797352,6.453935,21
2002-02-28,6.506933,6.857305,6.271388,6.795474,19
2002-03-31,6.763087,7.134429,6.757199,7.004444,20
2002-04-30,6.948312,7.069437,6.543586,6.673571,22
2002-05-31,6.676527,7.220102,6.605626,7.004444,22
2002-06-30,7.001489,7.033985,6.573129,6.885144,20
2002-07-31,6.873269,6.89999,5.391731,6.104293,22
2002-08-31,6.116171,6.27056,5.6055,6.071635,22
2002-09-30,6.012257,6.083511,5.155152,5.283583,20
2002-10-31,5.340331,5.854054,4.937119,5.585245,23
2002-11-30,5.531485,6.272202,5.480709,6.257269,20
2002-12-31,6.317001,6.317001,5.854054,5.97067,21
2003-01-31,6.030858,6.250545,5.597502,5.672741,21
2003-02-28,5.654678,5.75098,5.362767,5.522268,19
2003-03-31,5.513237,5.943314,5.119004,5.556365,21
2003-04-30,5.577528,6.103537,5.489859,6.058192,21
2003-05-31,6.040051,6.254688,5.937267,6.245619,21
2003-06-30,6.287942,6.550949,6.244212,6.301972,21
2003-07-31,6.280693,6.870458,6.186453,6.797498,22
2003-08-31,6.794456,7.083258,6.539098,6.985979,21
2003-09-30,7.022463,7.095425,6.631577,6.671305,21
2003-10-31,6.711034,7.361967,6.695754,7.306959,23
2003-11-30,7.306961,7.487263,7.11137,7.471983,19
2003-12-31,7.517826,8.299758,7.517826,8.204464,22
2004-01-31,8.253647,8.330498,7.688032,7.84173,20
2004-02-29,7.854025,8.318203,7.663439,8.250572,19
2004-03-31,8.290536,8.404274,7.653147,8.06033,23
2004-04-30,8.112771,8.279344,7.653151,7.687081,21
2004-05-31,7.702509,7.936943,7.276817,7.903014,20
2004-06-30,7.893759,8.311942,7.745691,8.299545,21
2004-07-31,8.299545,8.299545,7.76959,8.110499,21
2004-08-31,8.067109,8.339833,7.744797,8.246858,22
2004-09-30,8.228261,8.587637,8.142373,8.578296,21
2004-10-31,8.559608,8.774462,8.16417,8.497341,21
2004-11-30,8.531592,9.288221,8.456863,9.188582,21
2004-12-31,9.204156,9.392882,8.81494,9.311448,22
2005-01-31,9.330243,9.364694,8.816596,9.026436,20
2005-02-28,9.004512,9.834495,9.004512,9.737401,19
2005-03-31,9.803176,10.022414,9.239749,9.4786,22
2005-04-30,9.431458,9.591739,8.545198,8.802904,21
2005-05-31,8.806048,9.110896,8.391202,8.746335,21
2005-06-30,8.746335,9.177624,8.527041,8.571255,22
2005-07-31,8.590206,9.149199,8.432296,9.04498,20
2005-08-31,9.032351,9.332373,8.533359,8.666002,23
2005-09-30,8.684954,8.881965,8.494553,8.732718,21
2005-10-31,8.742245,8.856559,8.234156,8.751767,21
2005-11-30,8.79623,9.536129,8.605697,9.421804,21
2005-12-31,9.450389,9.845002,9.450389,9.691375,21
2006-01-31,9.636966,10.21947,9.630565,10.158659,20
2006-02-28,10.193867,10.241874,9.748984,9.941019,19
2006-03-31,9.931415,10.620142,9.76179,10.40465,23
2006-04-30,10.520435,11.102583,10.472191,10.774521,19
2006-05-31,10.822767,11.369528,9.954371,10.340322,22
2006-06-30,10.275997,10.571895,9.452627,10.393688,22
2006-07-31,10.439023,10.529684,9.687824,10.005139,20
2006-08-31,10.005143,10.348363,9.878865,10.306266,23
2006-09-30,10.315983,10.519969,9.959809,10.304842,20
2006-10-31,10.259243,10.972504,10.0736,10.923654,22
2006-11-30,10.923659,11.425215,10.78686,11.399159,21
2006-12-31,11.369849,11.685179,11.220032,11.471169,20
2007-01-31,11.474462,12.067111,11.184718,11.93541,20
2007-02-28,12.060528,12.893539,11.974923,12.254787,19
2007-03-31,12.017724,12.840858,11.352634,12.544147,22
2007-04-30,12.534261,13.055143,12.451842,12.732066,20
2007-05-31,12.722172,13.546358,12.570521,13.48372,22
2007-06-30,13.516691,13.882258,12.956237,13.412009,21
2007-07-31,13.521294,14.326007,12.862283,13.054358,21
2007-08-31,13.041113,13.345776,11.468095,12.964939,23
2007-09-30,13.004679,14.301858,12.57417,14.0091,19
2007-10-31,14.022408,14.684437,13.569964,14.591287,23
2007-11-30,14.551362,14.551362,12.641787,13.856075,21
2007-12-31,13.939236,14.54471,13.33044,14.004642,20
2008-01-31,14.004638,14.162486,11.636953,13.416914,21
2008-02-29,13.688949,14.400931,12.77545,13.725892,20
2008-03-31,13.766193,14.088597,12.498668,13.532928,20
2008-04-30,13.654205,15.032096,13.381324,14.253873,22
2008-05-31,14.213441,15.678922,13.927084,14.995028,21
2008-06-30,14.934392,15.331923,13.970576,14.122876,21
2008-07-31,13.916427,14.051798,12.853744,13.665986,22
2008-08-31,13.665987,13.689677,12.7116,13.452773,21
2008-09-30,13.273403,13.38847,10.78847,11.370622,21
2008-10-31,11.152735,11.299123,7.217278,8.824143,23
2008-11-30,8.841163,9.293949,6.403631,7.881135,19
2008-12-31,7.751768,8.466685,6.968756,7.835752,22
2009-01-31,7.890886,8.407754,7.212062,7.256857,20
