Date,Open,High,Low,Close,Sessions
1998-12-31,5.70703,5.82943,5.676429,5.714679,7
1999-01-31,5.69938,6.013039,5.248021,5.339823,19
1999-02-28,5.339821,5.68408,5.27097,5.293921,19
1999-03-31,5.305396,6.311049,5.163867,6.042331,23
1999-04-30,6.050004,7.094176,5.969389,6.936777,21
1999-05-31,6.94062,7.155595,6.637349,6.787064,20
1999-06-30,6.77171,7.217016,6.637351,6.925618,22
1999-07-31,6.94491,7.25357,6.813728,7.056799,21
1999-08-31,7.010502,7.450346,6.90247,7.133965,22
1999-09-30,7.133964,7.485067,6.511308,6.805869,21
1999-10-31,6.821373,6.871755,6.371782,6.705101,21
1999-11-30,6.71285,7.239959,6.294266,6.693473,21
1999-12-31,6.681844,6.965883,6.488054,6.740424,22
2000-01-31,6.794846,7.331282,6.437224,6.794844,20
2000-02-29,6.794847,6.868701,6.126246,6.507193,20
2000-03-31,6.472207,7.543054,6.45277,7.31684,23
2000-04-30,7.363647,7.52745,6.868311,7.207633,19
2000-05-31,7.285637,8.065686,7.238836,8.053986,22
2000-06-30,8.026683,8.11249,7.548182,7.610888,22
2000-07-31,7.571693,7.787249,7.093565,7.320875,20
2000-08-31,7.383578,8.371188,7.383578,8.120368,23
2000-09-30,8.096855,8.682912,7.809106,8.253876,20
2000-10-31,8.297175,8.753755,7.777618,8.029521,22
2000-11-30,8.092499,8.344408,7.533581,7.608366,21
2000-12-31,7.620174,8.574633,7.588688,8.385139,20
2001-01-31,8.527262,8.618061,7.627161,8.117952,21
2001-02-28,8.117952,8.600535,7.971409,8.019416,19
2001-03-31,8.047211,8.678859,7.463396,7.780173,22
2001-04-30,7.729491,8.677307,7.36202,8.583539,20
2001-05-31,8.510043,8.844564,8.061479,8.502439,22
2001-06-30,8.489763,8.624083,7.597749,7.727602,21
2001-07-31,7.689413,7.82181,7.192907,7.638487,21
2001-08-31,7.727603,7.760703,7.256561,7.315124,23
2001-09-30,7.31767,7.465348,6.081149,6.611166,15
2001-10-31,6.554839,7.399796,6.408891,6.87746,23
2001-11-30,6.859534,7.049011,6.145158,6.493385,21
2001-12-31,6.460102,6.998358,6.324396,6.864659,20
