Date,Open,High,Low,Close,Sessions
1998-12-31,11.191591,11.363075,11.072294,11.184133,7
1999-01-31,11.049924,11.959565,10.841149,11.377994,19
1999-02-28,11.422728,11.870096,10.528002,11.556938,19
1999-03-31,11.512201,12.556058,11.460009,11.931504,23
1999-04-30,11.901603,13.217362,11.841794,12.768807,21
1999-05-31,12.723948,13.052893,11.662377,11.998788,20
1999-06-30,11.931503,12.624321,11.557711,12.519367,22
1999-07-31,12.549355,12.879202,11.739718,11.75471,21
1999-08-31,11.814687,12.376932,10.870112,11.237445,22
1999-09-30,11.289923,11.634766,10.349862,10.650726,21
1999-10-31,10.567989,12.591318,10.048989,12.305494,21
1999-11-30,12.275417,12.892194,11.56837,11.763934,21
1999-12-31,11.643591,12.230281,10.976696,11.482496,22
2000-01-31,11.459852,11.633484,10.37275,11.142779,20
2000-02-29,11.203177,11.225826,9.497029,9.949989,20
2000-03-31,9.965086,12.214143,9.40644,11.767099,23
2000-04-30,12.017135,12.50964,10.729042,11.880741,19
2000-05-31,11.3352,12.214143,10.986664,12.145941,22
2000-06-30,12.20656,13.168843,11.389583,11.556854,22
2000-07-31,11.556851,12.818979,11.465611,12.575675,20
2000-08-31,12.644108,13.929049,12.590886,13.853017,23
2000-09-30,13.868215,14.415647,13.239031,14.154176,20
2000-10-31,14.138924,14.459219,12.140868,14.032154,22
2000-11-30,13.910143,14.260948,12.56793,13.31529,21
2000-12-31,13.406802,14.727012,13.040754,14.451455,20
2001-01-31,14.497386,15.017891,13.716647,14.417167,21
2001-02-28,14.475955,14.637618,12.825068,13.447208,19
2001-03-31,13.349231,13.93219,11.491297,13.044441,22
2001-04-30,12.90682,14.248614,12.213796,13.516277,20
2001-05-31,13.472042,14.415718,13.447467,14.110986,22
2001-06-30,14.032346,14.394787,13.388435,14.010006,21
2001-07-31,14.084,14.227072,13.279904,13.876812,21
2001-08-31,13.901479,14.049475,12.870461,12.959256,23
2001-09-30,12.880322,13.14671,10.479925,12.229058,15
