Date,Open,High,Low,Close,Sessions
1998-12-31,14.348365,15.188976,14.348365,15.188976,7
1999-01-31,15.2083,15.662424,14.551271,15.024726,19
1999-02-28,15.15033,15.565807,14.754173,15.159989,19
1999-03-31,15.131007,15.894318,14.908776,15.478431,23
1999-04-30,15.497818,18.193933,15.497818,17.806005,21
1999-05-31,17.738117,18.707941,17.165922,17.456875,20
1999-06-30,17.456864,18.663826,17.31139,18.527874,22
1999-07-31,18.382214,19.032827,17.848131,17.848131,21
1999-08-31,17.964659,18.790052,17.449988,17.993788,22
1999-09-30,18.052048,18.673528,17.258888,17.900995,21
1999-10-31,17.764783,18.377702,16.49031,17.511833,21
1999-11-30,17.443735,18.095574,17.035127,17.122677,21
1999-12-31,17.161602,18.509108,16.898924,18.509108,22
2000-01-31,18.430977,18.51888,16.4189,16.995182,20
2000-02-29,16.975636,17.063551,15.627746,16.05752,20
2000-03-31,16.067272,18.48857,15.569141,18.29282,23
2000-04-30,18.361335,19.066025,17.284702,18.557083,19
2000-05-31,18.625591,19.457534,17.960041,18.478792,22
2000-06-30,18.508149,18.90944,17.134104,17.751995,22
2000-07-31,17.830444,18.928922,17.673522,18.026606,20
2000-08-31,18.09526,20.047004,18.016804,19.811613,23
2000-09-30,19.929311,20.203928,18.469161,19.236246,20
2000-10-31,19.059229,19.668955,17.997104,19.668955,22
2000-11-30,19.786978,19.845974,18.636341,19.000212,21
2000-12-31,19.177235,20.554061,18.348531,19.750837,20
2001-01-31,19.731099,20.027357,18.447286,19.826687,21
2001-02-28,19.782448,19.807729,18.25926,18.638466,19
2001-03-31,18.505749,19.498027,15.528769,16.85347,22
2001-04-30,16.853475,19.166941,15.997796,18.780306,20
2001-05-31,18.672558,20.580379,18.583816,19.56625,22
2001-06-30,19.585269,19.959237,18.300121,18.357296,21
2001-07-31,18.389051,18.757468,17.671275,18.319187,21
2001-08-31,18.484337,18.890864,17.360031,17.690338,23
2001-09-30,17.607766,17.950775,13.012537,15.098365,15
2001-10-31,15.117499,16.425131,14.779428,15.366267,23
2001-11-30,15.404541,17.381935,15.181286,16.903547,21
2001-12-31,16.820615,17.936879,16.616496,17.668976,20
2002-01-31,17.605189,17.853958,15.532114,16.552708,21
2002-02-28,16.546328,17.381946,15.3854,16.967331,19
2002-03-31,17.094888,18.357879,16.973694,17.42635,20
2002-04-30,17.260028,17.752619,15.769447,16.223656,22
