Date,Open,High,Low,Close,Sessions
1998-12-31,12.042653,12.332982,11.810393,12.123945,7
1999-01-31,12.135559,14.063315,11.891687,14.051702,19
1999-02-28,14.179438,14.260729,12.391043,12.658144,19
1999-03-31,12.49556,14.051702,12.216849,13.598796,23
1999-04-30,13.935574,14.70203,12.681366,13.680093,21
1999-05-31,13.749768,14.597509,13.14589,13.726534,20
1999-06-30,13.743948,15.096866,13.180727,15.044607,22
1999-07-31,15.108478,16.351072,14.760085,14.870421,21
1999-08-31,14.794924,15.863328,14.098151,15.392999,22
1999-09-30,15.50332,16.327842,14.887843,15.329123,21
1999-10-31,15.259444,16.054939,14.295571,15.793642,21
1999-11-30,15.840094,18.209141,15.660096,17.343975,21
1999-12-31,17.2801,20.439232,17.2801,20.02116,22
2000-01-31,20.671505,20.671505,17.791429,18.790165,20
2000-02-29,18.772744,20.996666,18.592739,20.764412,20
2000-03-31,20.810861,24.318046,20.764403,22.50639,23
2000-04-30,22.227664,22.576054,17.559161,20.439241,19
2000-05-31,20.741193,20.903778,16.60688,18.314024,22
2000-06-30,18.674033,21.176671,18.557901,20.137285,22
2000-07-31,20.090834,21.461196,18.523071,19.06888,20
2000-08-31,19.045653,21.054736,18.151436,21.008284,23
2000-09-30,21.194094,21.25216,17.21077,17.23399,20
2000-10-31,17.48949,17.628849,14.679089,16.24687,22
2000-11-30,16.072669,16.595272,12.548072,12.913888,21
2000-12-31,13.285501,14.632638,11.009315,11.636428,20
2001-01-31,11.682884,14.51651,10.829314,13.861516,21
2001-02-28,13.906116,13.99159,10.253066,10.409147,19
2001-03-31,10.275359,11.226707,9.030425,9.216236,22
2001-04-30,9.27198,11.891921,8.11995,10.706444,20
2001-05-31,10.702729,11.590907,10.096984,10.267928,22
2001-06-30,10.36827,11.033472,9.468938,10.468607,21
2001-07-31,10.368266,10.594955,9.30914,9.74394,21
2001-08-31,9.92232,10.219623,8.38752,8.554749,23
2001-09-30,8.365219,8.733125,6.547989,7.153732,15
2001-10-31,7.11657,8.499005,6.938192,7.934142,23
2001-11-30,7.989883,9.346304,7.848667,9.119618,21
2001-12-31,9.011845,9.773674,8.863197,8.918938,20
2002-01-31,9.067586,9.781107,8.339211,8.822314,21
2002-02-28,8.751712,8.848334,7.458463,7.674001,19
2002-03-31,7.774339,8.755426,7.766907,8.053059,20
2002-04-30,7.997317,8.194276,6.893599,7.079404,22
2002-05-31,7.042248,7.480756,6.41792,6.785825,22
2002-06-30,6.789543,6.845286,5.388525,5.879066,20
2002-07-31,5.864204,6.057447,4.793931,5.321633,22
2002-08-31,5.265891,5.8865,4.741903,5.277038,22
2002-09-30,5.146974,5.462851,4.355416,4.396295,20
2002-10-31,4.437172,5.592918,4.236496,5.485148,23
2002-11-30,5.425687,6.429069,5.366228,6.354744,20
2002-12-31,6.540556,6.61488,5.485046,5.514856,21
2003-01-31,5.552121,6.297372,5.265201,5.384441,21
2003-02-28,5.376987,5.570754,5.123602,5.410526,19
2003-03-31,5.421702,5.816685,5.000634,5.328546,21
2003-04-30,5.347178,5.93965,5.339725,5.816687,21
2003-05-31,5.801781,6.345811,5.760793,6.316001,21
2003-06-30,6.334636,6.67,6.23403,6.360719,21
2003-07-31,6.3011,6.874945,6.248933,6.558211,22
2003-08-31,6.547032,6.94574,6.297375,6.871218,21
2003-09-30,6.949467,7.310918,6.785511,6.811595,21
2003-10-31,6.863767,7.433879,6.819051,7.310911,23
2003-11-30,7.370535,7.560571,7.120877,7.41525,19
2003-12-31,7.452508,7.704048,7.221488,7.647759,22
2004-01-31,7.677777,8.345739,7.647756,7.974231,20
2004-02-29,8.011757,8.09056,7.662769,7.771593,19
2004-03-31,7.782851,7.962976,7.227466,7.565202,23
2004-04-30,7.610233,7.917941,7.276253,7.276253,21
2004-05-31,7.325032,7.561447,7.159924,7.561447,20
2004-06-30,7.471386,7.794108,7.407595,7.76784,21
2004-07-31,7.749079,7.749079,7.051099,7.295015,21
2004-08-31,7.246231,7.336293,6.702107,6.972293,22
2004-09-30,6.968538,7.317531,6.946022,7.174933,21
2004-10-31,7.21621,7.538934,7.21621,7.49015,21
2004-11-30,7.523923,8.038026,7.486398,7.872911,21
2004-12-31,7.917944,8.210648,7.895434,8.078911,22
2005-01-31,8.140146,8.151627,7.474238,7.62349,20
2005-02-28,7.654108,7.826329,7.501028,7.634972,19
2005-03-31,7.692382,7.8225,7.309672,7.485721,22
2005-04-30,7.462755,7.569915,7.064743,7.221647,21
2005-05-31,7.256096,7.807192,7.194863,7.722997,21
2005-06-30,7.730652,7.88373,7.577571,7.62349,22
2005-07-31,7.669422,8.140143,7.585221,8.055947,20
2005-08-31,8.086563,8.201378,7.745959,7.979406,23
2005-09-30,7.983233,8.124839,7.791883,7.998548,21
2005-10-31,7.97941,8.052124,7.462757,7.814844,21
2005-11-30,7.799538,8.41952,7.761268,8.308535,21
2005-12-31,8.38125,8.473098,8.041788,8.053348,21
2006-01-31,8.09188,8.716109,8.030228,8.323073,20
2006-02-28,8.276831,8.511885,8.138114,8.34234,19
2006-03-31,8.384724,8.642898,8.311511,8.531146,23
2006-04-30,8.588952,8.716108,8.396286,8.4194,19
2006-05-31,8.46179,8.488764,7.783612,7.872239,22
2006-06-30,7.868389,8.064904,7.52159,7.833704,22
2006-07-31,7.818296,7.899214,7.263422,7.629484,20
2006-08-31,7.598656,8.226744,7.479204,8.165092,23
2006-09-30,8.215186,8.594825,8.026371,8.494436,20
2006-10-31,8.475131,8.911433,8.189407,8.830353,22
2006-11-30,8.880543,9.201018,8.691352,9.081326,21
2006-12-31,9.034992,9.214916,8.92302,9.032412,20
2007-01-31,9.071241,9.343068,8.966394,9.214922,20
2007-02-28,9.22657,9.350831,8.846012,8.966392,19
2007-03-31,8.826596,9.211036,8.694566,9.0557,22
2007-04-30,9.082892,9.595478,9.028527,9.482864,20
2007-05-31,9.510042,9.979914,9.451794,9.960497,22
2007-06-30,10.007096,10.084074,9.680908,9.948066,21
2007-07-31,9.979154,10.499867,9.882007,9.928638,21
2007-08-31,9.936406,10.258943,9.287451,10.119048,23
2007-09-30,10.134594,10.657141,9.932521,10.501391,19
2007-10-31,10.579263,11.104915,10.458557,11.05819,23
2007-11-30,11.136066,11.136066,9.808307,10.224933,21
2007-12-31,10.256085,10.758374,10.045822,10.428547,20
2008-01-31,10.424634,10.452016,7.729481,9.09466,21
2008-02-29,9.223747,9.266776,8.550942,8.664376,20
2008-03-31,8.676115,9.116689,8.257563,8.764545,20
2008-04-30,8.968006,9.613608,8.729327,9.312324,22
2008-05-31,9.457098,10.051838,9.44536,9.918803,21
2008-06-30,9.891413,9.981405,8.883723,8.989671,21
2008-07-31,8.88373,9.017137,8.467793,8.769936,22
2008-08-31,8.820948,9.350671,8.616904,8.926893,21
2008-09-30,9.130938,9.154481,7.447574,7.815674,21
2008-10-31,7.748738,7.784174,5.626499,6.555715,23
2008-11-30,6.571464,6.870704,5.094954,6.004485,19
2008-12-31,5.894239,6.331286,5.52019,6.099946,22
2009-01-31,6.135572,6.511621,5.66056,5.810979,20
2009-02-28,5.779313,6.388913,5.474513,5.589307,19
2009-03-31,5.518054,6.44897,5.177631,6.214247,22
2009-04-30,6.142634,7.029816,6.12672,6.862724,21
2009-05-31,6.886593,7.11734,6.612084,7.021858,20
2009-06-30,7.11734,7.411743,7.005678,7.277432,22
2009-07-31,7.325393,8.016763,6.853816,7.872898,22
2009-08-31,7.972807,8.220585,7.673076,8.000781,21
2009-09-30,7.96881,8.51982,7.796965,8.371409,21
2009-10-31,8.331293,8.704335,8.05853,8.267115,22
2009-11-30,8.275132,8.920942,8.206942,8.72439,20
2009-12-31,8.79258,9.331382,8.776539,9.230742,22
2010-01-31,9.315279,9.37969,8.397441,8.437696,19
2010-02-28,8.477947,8.832206,8.337057,8.731561,19
2010-03-31,8.775849,9.441862,8.759746,9.328788,23
2010-04-30,9.353017,9.75686,9.248018,9.4459,21
2010-05-31,9.47417,9.611476,8.335332,8.739174,20
2010-06-30,8.698787,9.167253,8.243236,8.267552,22
2010-07-31,8.271607,9.098361,8.109498,8.883566,21
2010-08-31,8.988935,9.106467,8.340498,8.38508,22
2010-09-30,8.49856,9.505449,8.48235,9.363091,21
2010-10-31,9.428168,9.944723,9.224798,9.904049,21
2010-11-30,9.952857,10.282315,9.655938,9.741355,21
2010-12-31,9.883712,10.34378,9.859308,10.282548,22
2011-01-31,10.360104,10.825456,10.360104,10.609104,20
2011-02-28,10.686666,11.058131,10.543795,10.841778,19
2011-03-31,10.862191,10.8826,10.009054,10.673629,23
2011-04-30,10.72278,10.972624,10.321392,10.952145,20
2011-05-31,11.001295,11.013582,10.501608,10.837462,21
2011-06-30,10.80879,10.845652,9.98963,10.568336,22
2011-07-31,10.580671,11.053574,10.502544,10.613571,20
2011-08-31,10.74927,10.778055,9.240096,10.050202,23
2011-09-30,10.070765,10.439305,9.458045,9.741703,21
2011-10-31,9.663272,10.963542,9.328913,10.736509,21
2011-11-30,10.484711,10.955287,9.910943,10.575521,21
2011-12-31,10.546626,10.827319,10.223789,10.551317,21
2012-01-31,10.725445,11.276847,10.638382,11.206369,20
2012-02-29,11.314164,12.110175,11.272704,12.002382,20
2012-03-31,12.064572,12.702241,11.770213,12.544191,22
2012-04-30,12.54003,12.735513,11.97854,12.402776,20
2012-05-31,12.394458,12.569145,11.400407,11.616688,22
2012-06-30,11.417046,12.083503,11.246515,11.995822,21
2012-07-31,12.029224,12.28392,11.553233,12.217114,21
2012-08-31,12.296448,12.926925,12.033398,12.73069,23
2012-09-30,12.718164,13.290581,12.605429,12.925825,19
2012-10-31,12.976138,13.089335,12.041183,12.104074,21
2012-11-30,12.16696,12.355628,11.408102,12.213079,21
2012-12-31,12.305318,12.393361,11.912269,12.165273,20
2013-01-31,12.489961,12.603813,12.270692,12.397195,21
2013-02-28,12.502614,12.658632,12.31708,12.494184,19
2013-03-31,12.435143,12.867051,12.376109,12.816244,20
2013-04-30,12.828945,13.044874,12.320867,13.04064,22
2013-05-31,13.023705,13.679974,12.913622,13.404763,22
2013-06-30,13.421699,13.561421,12.740536,13.01713,20
2013-07-31,13.115,13.697985,13.029895,13.502238,22
2013-08-31,13.591602,13.817136,13.315005,13.361814,22
2013-09-30,13.417135,14.016572,13.323517,13.700156,20
2013-10-31,13.71298,14.504027,13.417939,14.388582,23
2013-11-30,14.448443,14.876037,14.32872,14.833277,20
2013-12-31,14.846107,15.366179,14.551069,15.357587,21
2014-01-31,15.306024,15.490797,14.691553,14.962254,21
2014-02-28,14.927886,15.662675,14.575531,15.619703,19
2014-03-31,15.426343,15.855211,15.297429,15.686903,21
2014-04-30,15.717112,15.937206,15.160412,15.730054,21
2014-05-31,15.725744,16.342868,15.440927,16.321291,21
2014-06-30,16.347177,16.682677,16.200451,16.626316,21
2014-07-31,16.687006,17.376342,16.569955,16.908115,22
2014-08-31,16.864766,17.476051,16.595966,17.463051,21
2014-09-30,17.502067,17.664475,17.128928,17.372757,21
2014-10-31,17.316166,17.655762,15.927205,17.651409,23
2014-11-30,17.673193,18.539643,17.612235,18.500456,19
2014-12-31,18.456917,18.557306,17.342278,18.097748,22
2015-01-31,18.211545,18.255312,17.358085,17.463127,20
2015-02-28,17.524399,18.959957,17.239911,18.859293,19
2015-03-31,18.924951,19.021238,17.991648,18.211386,22
2015-04-30,18.228964,19.138651,18.035589,18.712368,21
2015-05-31,18.826631,19.252912,18.39595,19.05954,20
2015-06-30,19.169409,19.21775,18.227101,18.27566,22
2015-07-31,18.438985,19.339538,18.006382,18.796551,22
2015-08-31,18.787728,18.906911,13.825933,17.759172,21
2015-09-30,17.383938,18.275655,17.049933,17.515537,21
2015-10-31,17.51553,19.537579,17.258346,19.35578,22
2015-11-30,19.391251,19.768172,18.748278,19.493244,20
