Date,Open,High,Low,Close,Sessions
1998-12-31,13.562062,15.093533,13.562062,14.233622,7
1999-01-31,14.348279,14.462935,13.160779,14.04525,19
1999-02-28,14.143528,14.290947,13.431028,13.897844,19
1999-03-31,13.848712,14.660763,13.652151,13.881367,23
1999-04-30,14.029035,14.529493,13.126585,13.397322,21
1999-05-31,13.520385,14.160304,13.003533,13.257852,20
1999-06-30,13.282459,13.709076,12.86598,13.491979,22
1999-07-31,13.53316,13.837921,12.940104,12.989525,21
1999-08-31,13.005999,13.730846,12.421188,13.211918,22
1999-09-30,13.170733,13.442558,11.755884,12.020062,21
1999-10-31,12.053086,13.357454,11.978786,13.118044,21
1999-11-30,13.241878,13.547336,12.886888,13.15932,21
1999-12-31,13.068509,13.398735,11.864743,12.204213,22
2000-01-31,12.25389,12.974217,11.699155,12.311844,20
2000-02-29,12.212496,12.278726,10.647635,10.871188,20
2000-03-31,10.821507,11.504137,9.720314,11.279866,23
2000-04-30,11.495832,12.475962,11.354626,11.877916,19
2000-05-31,11.96098,12.999254,11.778243,12.725151,22
2000-06-30,12.849739,13.445555,12.235082,13.445555,22
2000-07-31,13.362293,13.670341,12.771193,12.954355,20
2000-08-31,13.012635,13.503832,12.687944,12.796171,23
2000-09-30,12.821144,13.505053,12.388225,13.362983,20
2000-10-31,13.279418,14.357483,13.145698,14.290617,22
2000-11-30,14.307331,15.251682,14.03991,14.783685,21
2000-12-31,14.725186,15.489092,14.232122,15.321461,20
2001-01-31,15.354989,15.422042,13.67867,14.204372,21
2001-02-28,14.279465,14.730058,13.903967,14.290185,19
2001-03-31,14.290192,14.30092,12.115494,13.299064,22
2001-04-30,13.342108,13.734839,12.814875,13.557303,20
2001-05-31,13.616482,14.116805,13.406666,13.756363,22
2001-06-30,13.7725,14.122185,13.120089,13.120089,21
2001-07-31,13.292787,13.751537,12.931197,13.519466,21
2001-08-31,13.627407,14.08615,13.341361,13.584229,23
2001-09-30,13.60042,14.086146,12.560826,13.567849,15
2001-10-31,13.643647,14.049713,13.481226,13.481226,23
2001-11-30,13.605752,14.212129,13.52454,14.076783,21
2001-12-31,14.076784,14.114683,13.400013,13.800469,20
2002-01-31,13.691803,13.898268,13.115882,13.708107,21
2002-02-28,13.860229,14.180798,13.376678,13.996067,19
2002-03-31,14.083001,14.439734,13.968892,14.221775,20
2002-04-30,14.156388,14.216327,13.567898,13.693224,22
2002-05-31,13.71502,13.927529,13.366288,13.540659,22
2002-06-30,13.567897,13.60604,11.931315,12.160869,20
2002-07-31,12.188195,12.37949,10.231529,11.641645,22
2002-08-31,11.586985,12.210062,11.073223,11.734565,22
2002-09-30,11.614314,11.925852,10.726811,10.886338,20
2002-10-31,10.941344,11.76098,10.941344,11.309912,23
2002-11-30,11.276904,11.458434,10.781819,10.996352,20
2002-12-31,11.05687,11.249398,10.869838,11.02739,21
2003-01-31,11.066105,11.436637,10.374816,10.65133,21
2003-02-28,10.695577,10.772994,10.231031,10.325041,19
2003-03-31,10.380345,10.837855,9.854968,10.326272,21
2003-04-30,10.203936,10.765569,10.203936,10.632113,21
2003-05-31,10.604308,11.199304,10.454168,11.154819,21
2003-06-30,11.232668,11.56631,11.127014,11.261256,21
2003-07-31,11.177471,11.490283,11.143956,11.244506,22
2003-08-31,11.149539,11.467941,11.004309,11.434424,21
2003-09-30,11.417661,11.674622,11.322202,11.389462,21
2003-10-31,11.400672,11.949965,11.400672,11.905125,23
2003-11-30,11.961172,12.073279,11.75939,12.045256,19
2003-12-31,12.000406,12.259521,11.871497,12.259521,22
2004-01-31,12.242634,12.360833,12.011853,12.259521,20
2004-02-29,12.25951,13.008149,12.253881,12.95749,19
2004-03-31,13.013783,13.120722,12.51863,12.925383,23
2004-04-30,12.897134,13.21349,12.767198,13.094848,21
2004-05-31,13.162646,13.207835,12.648556,13.021416,20
2004-06-30,13.021416,13.421736,12.936678,13.092854,21
2004-07-31,13.121205,13.126876,12.378388,12.446433,21
2004-08-31,12.395399,12.752633,12.247974,12.667583,22
2004-09-30,12.656242,12.922742,12.163111,12.333947,21
2004-10-31,12.333949,12.527547,12.060616,12.413666,21
2004-11-30,12.419358,13.131151,12.356721,12.721163,21
2004-12-31,12.726863,13.294015,12.726863,13.196813,22
2005-01-31,13.322605,13.448398,13.053867,13.351194,20
