Date,Open,High,Low,Close,Sessions
1998-12-31,5.877265,5.989588,5.758866,5.874225,7
1999-01-31,5.831728,5.971374,5.673871,5.728515,19
1999-02-28,5.761903,5.789227,5.482612,5.57065,19
1999-03-31,5.525113,5.634402,5.219213,5.219213,23
1999-04-30,5.240605,5.83342,5.240605,5.723412,21
1999-05-31,5.741745,5.934258,5.680633,5.790639,20
1999-06-30,5.772304,6.084417,5.711189,6.029077,22
1999-07-31,6.059821,6.1828,5.884575,6.047521,21
1999-08-31,6.056748,6.192022,5.567904,5.758521,22
1999-09-30,5.718553,5.904974,5.530105,5.904974,21
1999-10-31,5.867799,6.022703,5.505322,5.935956,21
1999-11-30,5.948345,6.025801,5.65093,5.740776,21
1999-12-31,5.731481,5.917367,5.552902,5.615262,22
2000-01-31,5.774271,5.774271,5.234882,5.51549,20
2000-02-29,5.506137,5.509254,4.664314,4.845149,20
2000-03-31,5.019748,5.446663,4.972981,5.37442,23
2000-04-30,5.355572,5.905265,5.226789,5.726223,19
2000-05-31,5.675966,5.80161,5.443526,5.713659,22
2000-06-30,5.69481,6.012059,5.500591,5.519581,22
2000-07-31,5.652506,5.877213,5.516415,5.60503,20
2000-08-31,5.643009,5.937349,5.627185,5.82341,23
2000-09-30,5.870885,6.650375,5.829741,6.592934,20
2000-10-31,6.532299,6.975871,6.292964,6.975871,22
2000-11-30,7.001399,7.055653,6.80993,6.972682,21
2000-12-31,6.943961,7.030123,6.5084,6.877531,20
2001-01-31,6.825725,7.029717,6.229929,6.490525,21
2001-02-28,6.517467,6.778576,6.465658,6.625227,19
2001-03-31,6.589998,6.643876,5.906234,6.530252,22
2001-04-30,6.53025,6.943478,6.248502,6.845388,20
2001-05-31,6.887132,7.001914,6.657557,6.893393,22
2001-06-30,6.82452,6.866261,6.312097,6.547513,21
2001-07-31,6.515984,6.772417,6.16496,6.48866,21
2001-08-31,6.452925,6.614776,6.230121,6.257447,23
2001-09-30,6.284772,6.396174,6.01336,6.197638,15
2001-10-31,6.187047,6.420041,5.84603,5.871447,23
2001-11-30,5.930755,6.100205,5.774015,5.797311,21
2001-12-31,5.767658,6.040733,5.642687,5.983101,20
2002-01-31,5.955349,6.126115,5.609559,5.767512,21
2002-02-28,5.816608,5.835819,5.50283,5.75684,19
2002-03-31,5.816605,6.104686,5.805933,6.063801,20
2002-04-30,6.003549,6.078866,5.465602,5.69584,22
2002-05-31,5.661414,5.863684,5.45484,5.648503,22
2002-06-30,5.635592,5.661413,5.068712,5.268592,20
2002-07-31,5.294663,5.294663,3.563089,4.49297,22
2002-08-31,4.519038,4.940524,4.264844,4.671121,22
2002-09-30,4.681986,4.681986,3.835214,4.105701,20
2002-10-31,4.154083,4.202462,3.276646,4.011141,23
2002-11-30,3.989148,4.264037,3.804428,4.127693,20
2002-12-31,4.145286,4.332643,3.940772,4.261431,21
2003-01-31,4.312613,4.606352,4.054483,4.161295,21
2003-02-28,4.183547,4.192449,3.718459,3.938764,19
2003-03-31,3.983272,4.214764,3.869781,4.138295,21
2003-04-30,4.163036,4.552124,4.118054,4.495897,21
2003-05-31,4.498146,5.042424,4.410432,4.950211,21
2003-06-30,5.015433,5.173895,4.950208,5.017386,21
2003-07-31,4.987898,5.046874,4.649929,4.681683,22
2003-08-31,4.708902,4.786024,4.563732,4.774681,21
2003-09-30,4.756535,5.021244,4.756535,5.012088,21
2003-10-31,5.028112,5.112789,4.945722,5.046421,23
2003-11-30,5.073885,5.126523,4.863331,5.057865,19
2003-12-31,5.078463,5.423906,5.034979,5.389256,22
2004-01-31,5.405428,5.571748,5.336126,5.500135,20
2004-02-29,5.541715,5.608707,5.384635,5.604086,19
2004-03-31,5.650285,5.717278,5.493207,5.663833,23
2004-04-30,5.675478,5.696439,5.291212,5.421631,21
2004-05-31,5.470536,5.505468,5.139836,5.486838,20
2004-06-30,5.493823,5.649989,5.398342,5.581863,21
2004-07-31,5.607703,5.708723,5.476144,5.666434,21
2004-08-31,5.687577,5.896664,5.628847,5.896664,22
2004-09-30,5.903708,5.988284,5.854378,5.934093,21
