Date,Open,High,Low,Close,Sessions
1998-12-31,16.570065,17.383957,16.570065,17.363083,7
1999-01-31,17.530033,18.78219,17.216997,18.197853,19
1999-02-28,18.281322,18.688275,17.488302,18.218716,19
1999-03-31,18.176978,19.136965,17.968287,18.698711,23
1999-04-30,18.698711,20.430845,18.469151,19.366516,21
1999-05-31,19.596075,20.09693,18.521319,18.771749,20
1999-06-30,18.677838,19.679557,18.552622,19.596081,22
1999-07-31,19.512604,20.055197,19.011738,19.011738,21
1999-08-31,19.032612,19.136957,17.822207,18.156111,22
1999-09-30,18.07263,18.980447,17.509158,17.90568,21
1999-10-31,17.874382,19.032617,16.914399,18.813492,21
1999-11-30,18.896963,19.804778,18.479586,19.03261,21
1999-12-31,19.011735,20.74983,18.949128,20.74983,22
2000-01-31,20.823295,22.124745,19.584816,20.225042,20
2000-02-29,20.298517,21.369072,18.136419,18.902594,20
2000-03-31,18.986557,21.064695,18.283358,20.602892,23
2000-04-30,20.770808,20.907272,18.230874,20.3615,19
2000-05-31,20.424461,20.529417,18.787146,19.815718,22
2000-06-30,19.857692,20.487439,19.416881,19.857695,22
2000-07-31,19.647788,20.445457,19.227958,19.563828,20
2000-08-31,19.500845,20.592385,19.500845,20.256531,23
2000-09-30,20.172571,20.3405,18.808132,19.521849,20
2000-10-31,19.64779,20.466443,16.918922,19.815718,22
2000-11-30,19.847204,20.403468,17.716589,18.010466,21
2000-12-31,18.05246,19.353899,17.446853,18.307653,20
2001-01-31,18.139695,20.323179,17.562332,19.631197,21
2001-02-28,19.819291,20.054443,18.670462,19.254955,19
2001-03-31,19.167615,19.375883,16.496688,18.022049,22
2001-04-30,18.109402,19.661637,17.269444,19.352533,20
2001-05-31,19.413013,20.703171,19.036712,20.091682,22
2001-06-30,20.024496,20.279842,19.125261,19.864719,21
2001-07-31,19.86473,20.073126,18.748802,19.468107,21
2001-08-31,19.394162,19.696673,18.258077,18.479914,23
2001-09-30,18.453022,18.829476,14.122873,15.804162,15
2001-10-31,15.804168,16.712062,15.50826,15.884875,23
2001-11-30,15.783985,18.02348,15.783985,17.72757,21
2001-12-31,17.619955,18.850668,17.579603,18.156466,20
2002-01-31,18.324891,18.931235,17.415385,18.021732,21
2002-02-28,18.223836,18.998609,17.550129,18.850386,19
2002-03-31,18.897551,20.287716,18.803233,19.943968,20
2002-04-30,19.613704,20.564059,19.344101,19.822647,22
2002-05-31,19.883308,20.557319,19.546295,20.098993,22
2002-06-30,20.186613,20.200092,17.899474,18.661285,20
2002-07-31,18.539949,18.539949,14.595989,18.121956,22
2002-08-31,18.000601,19.295031,16.726398,18.297237,22
2002-09-30,18.068029,18.573654,16.906882,17.163857,20
2002-10-31,17.35322,19.030375,16.906874,18.164755,23
2002-11-30,17.988917,19.084477,17.988917,18.726053,20
2002-12-31,18.834253,18.834253,17.447894,18.022306,21
2003-01-31,18.158068,18.938698,17.323121,17.961208,21
2003-02-28,18.022302,18.076606,16.739357,17.560715,19
2003-03-31,17.648948,18.663151,16.888697,18.186708,21
2003-04-30,18.295604,19.085149,17.934872,18.785666,21
2003-05-31,18.840118,19.61605,18.404508,19.173634,21
2003-06-30,19.330185,21.174711,19.01028,20.020437,21
2003-07-31,19.863432,20.546036,19.535791,19.720091,22
2003-08-31,19.624525,19.624525,18.709863,18.989723,21
2003-09-30,18.98972,19.972658,18.936445,19.039139,21
2003-10-31,19.16922,19.751131,18.785833,19.169216,23
2003-11-30,19.271915,20.024985,18.696841,19.579992,19
2003-12-31,19.751146,20.733654,19.662145,20.713043,22
2004-01-31,20.747402,21.503098,20.644343,21.283258,20
2004-02-29,21.33134,21.970252,21.255771,21.509958,19
2004-03-31,21.551187,21.846593,20.000273,20.613213,23
2004-04-30,20.661429,21.763374,20.661429,21.253719,21
2004-05-31,21.350138,21.666942,20.571894,21.184847,20
2004-06-30,21.18485,21.653178,20.836387,21.105732,21
2004-07-31,21.133352,21.147165,19.517269,19.973093,21
2004-08-31,19.973095,20.449633,19.165049,20.297691,22
2004-09-30,20.33913,20.981423,19.845793,19.942772,21
2004-10-31,19.94277,20.780941,18.495042,19.499449,21
2004-11-30,19.464811,20.974897,19.063046,19.880426,21
2004-12-31,19.880425,21.122637,19.880425,20.976727,22
2005-01-31,21.157379,21.157379,20.212416,20.323591,20
2005-02-28,20.393074,21.331075,20.323592,20.935024,19
2005-03-31,21.053149,21.456158,20.448693,20.818205,22
2005-04-30,20.943692,21.891877,20.595095,21.543287,21
2005-05-31,21.647862,22.066184,21.313215,21.815199,21
2005-06-30,21.850052,22.217339,21.608934,21.699844,22
2005-07-31,21.748795,22.378184,21.399135,22.189367,20
2005-08-31,22.34321,22.44113,21.504032,22.112444,23
2005-09-30,22.168384,22.741825,21.75141,21.989914,21
2005-10-31,22.060048,22.298542,20.888659,21.316528,21
2005-11-30,21.358619,21.989911,20.692268,21.576063,21
2005-12-31,21.744405,22.871516,21.688294,22.322603,21
2006-01-31,22.364822,23.3008,22.245193,22.611137,20
2006-02-28,22.72374,23.244498,22.174818,22.871517,19
2006-03-31,22.843372,23.243031,22.558165,22.579346,23
2006-04-30,22.664079,22.727624,21.590879,21.880362,19
2006-05-31,21.837992,22.099234,21.033104,21.421434,22
2006-06-30,21.513224,21.837998,20.854923,21.428923,22
2006-07-31,21.421824,22.746963,21.152547,22.598152,20
2006-08-31,22.591066,23.363468,22.286359,23.243002,23
2006-09-30,23.243006,23.770345,22.980806,23.599688,20
2006-10-31,23.521473,24.140076,23.379269,23.677906,22
2006-11-30,23.642356,24.05477,22.938414,23.649466,21
2006-12-31,23.677909,24.110738,23.386372,23.896667,20
2007-01-31,24.046513,24.917045,23.789636,24.624483,20
2007-02-28,24.724387,24.902776,23.661197,24.053642,19
2007-03-31,23.853853,24.58763,23.468538,24.100603,22
2007-04-30,24.208034,26.148972,24.150739,25.862488,20
2007-05-31,25.826682,26.535717,25.755051,26.306553,22
2007-06-30,26.31371,26.371006,25.051436,25.425869,21
2007-07-31,25.505073,25.951518,24.180138,24.216146,21
2007-08-31,24.172948,25.130642,23.719291,24.770603,23
2007-09-30,24.849798,25.767426,24.619385,25.543421,19
2007-10-31,25.651807,26.29492,25.1171,26.020325,23
2007-11-30,26.020322,26.432205,24.589606,26.35272,21
2007-12-31,26.612847,27.378789,25.521753,25.607555,20
2008-01-31,25.839634,26.550349,22.01772,24.439951,21
2008-02-29,24.200634,24.766302,23.663966,23.787252,20
2008-03-31,23.678472,23.932302,21.756638,22.706333,20
2008-04-30,22.801038,23.361963,22.597061,22.932165,22
2008-05-31,22.844745,23.493076,22.771898,23.369246,21
2008-06-30,23.340102,23.500366,21.861316,22.380499,21
2008-07-31,22.095071,23.66859,22.058484,23.383165,22
2008-08-31,23.470985,24.693206,23.105051,23.866188,21
2008-09-30,24.078438,24.378504,21.320717,22.092678,21
2008-10-31,22.12944,22.497035,16.828665,19.556253,23
2008-11-30,19.607716,20.269392,16.166993,18.321121,19
2008-12-31,18.232883,19.756766,17.233016,19.638418,22
2009-01-31,19.645811,20.141394,18.595471,19.401722,20
